nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
0,0,0,0,0,0
2,0,0,0,1,1
4,2,0,0,3,3
5,6,0,0,3,5
6,11,0,0,5,8
8,17,0,0,5,11
11,25,0,0,7,17
15,36,0,0,5,25
17,51,0,0,7,26
19,68,0,0,7,34
19,87,0,0,7,31
23,106,0,0,11,43
23,129,0,0,11,40
22,152,0,0,10,41
22,174,0,0,11,41
24,196,0,0,11,42
24,220,0,0,12,42
21,243,0,0,10,34
23,263,0,0,11,38
26,285,0,0,12,46
26,310,0,0,13,48
25,335,0,0,13,48
26,359,0,0,14,49
30,384,0,0,14,52
30,413,0,0,15,53
29,442,0,0,14,52
29,470,0,0,15,51
32,498,0,0,16,57
32,529,0,0,17,59
34,560,0,0,19,63
30,591,0,0,20,54
30,618,0,0,20,52
43,644,0,0,23,84
41,683,0,0,22,78
36,719,0,0,19,67
36,750,0,0,19,67
36,780,0,0,20,67
36,810,0,0,20,67
36,839,0,0,18,72
34,865,0,0,18,62
34,889,1,0,20,63
34,913,2,0,20,63
34,937,3,0,20,65
34,961,4,0,20,65
33,984,4,0,19,59
35,1006,4,0,20,67
35,1030,4,0,20,67
35,1054,4,0,20,67
38,1078,4,0,21,71
38,1105,4,0,22,84
37,1132,6,0,20,81
37,1158,7,0,18,88
37,1184,8,0,18,89
37,1210,11,0,22,71
38,1236,12,0,20,94
36,1263,13,0,19,81
38,1288,15,0,19,85
35,1315,17,0,18,76
37,1339,21,0,20,84
41,1363,23,0,23,89
42,1391,25,0,24,90
41,1420,28,0,24,91
46,1448,32,0,26,102
45,1481,36,0,26,100
44,1513,40,0,25,95
45,1543,43,0,28,101
47,1571,46,0,29,109
47,1601,49,0,29,107
46,1630,52,0,28,104
43,1656,54,0,28,96
47,1678,56,0,31,104
49,1704,58,0,32,112
49,1728,59,0,31,113
47,1752,62,0,29,109
49,1774,67,0,32,114
49,1798,72,0,32,114
49,1822,77,0,32,114
49,1846,82,0,32,114
49,1870,87,0,32,114
49,1894,92,0,32,114
49,1918,97,0,32,114
49,1942,102,0,32,114
49,1966,107,0,32,114
50,1990,112,0,32,115
50,2015,117,0,32,115
50,2040,122,0,33,115
50,2065,127,0,33,115
45,2090,129,0,27,105
47,2109,130,0,31,103
50,2130,131,0,30,112
49,2154,133,0,33,109
43,2176,133,0,28,101
43,2192,133,0,29,103
43,2208,133,0,29,103
43,2224,133,0,29,103
43,2239,133,0,29,103
43,2254,133,0,29,103
43,2269,133,0,29,103
43,2284,133,0,29,103
43,2299,133,0,29,103
43,2314,133,0,29,103
43,2329,133,0,29,103
43,2344,133,0,29,103
43,2359,133,0,29,103
43,2374,133,0,29,103
43,2389,133,0,29,103
43,2404,133,0,29,103
43,2419,133,0,29,103
45,2434,134,0,30,108
45,2451,136,0,32,114
46,2468,139,0,32,112
52,2486,142,0,36,134
49,2510,146,0,34,127
50,2531,152,0,34,139
48,2553,161,0,34,132
48,2573,169,0,33,131
48,2593,178,0,34,132
51,2612,192,0,33,144
52,2634,206,0,36,152
52,2655,220,0,35,153
52,2676,234,0,35,153
51,2695,250,0,36,148
52,2713,271,0,34,154
54,2732,292,0,37,167
52,2753,314,0,38,167
54,2769,337,0,36,165
57,2787,359,0,42,167
59,2808,382,0,41,181
59,2831,405,0,41,181
57,2851,426,0,37,175
57,2869,447,0,37,175
59,2887,468,0,38,177
59,2907,489,0,38,177
59,2927,510,0,38,177
59,2947,531,0,38,177
55,2962,552,0,39,165
58,2973,576,0,42,184
59,2982,596,0,44,183
61,2990,617,0,44,186
61,3000,637,0,45,185
61,3010,656,0,47,187
63,3020,675,0,48,192
63,3032,693,0,49,191
61,3044,711,0,47,189
61,3054,728,0,46,189
61,3064,744,0,47,189
62,3074,760,0,50,190
62,3085,776,0,50,190
62,3096,792,0,49,190
64,3107,807,0,52,191
63,3120,823,0,52,189
64,3132,839,0,53,193
68,3145,854,0,54,204
67,3162,869,0,52,200
67,3178,884,0,52,200
67,3194,900,0,53,201
67,3210,916,0,53,201
67,3226,932,0,53,201
67,3242,948,0,52,201
73,3258,963,0,53,210
73,3280,978,0,53,210
73,3302,993,0,54,210
73,3324,1008,0,53,210
73,3346,1023,0,54,209
73,3368,1038,0,55,209
71,3390,1053,0,52,208
69,3410,1064,0,54,200
69,3428,1075,0,54,200
70,3445,1086,0,56,206
72,3462,1095,0,56,211
75,3479,1104,0,61,221
75,3499,1113,0,61,223
75,3519,1122,0,61,224
75,3539,1131,0,61,222
75,3559,1140,0,61,222
75,3579,1149,0,61,222
77,3599,1156,0,58,226
73,3621,1161,0,57,212
77,3639,1166,0,59,218
82,3661,1171,0,62,231
84,3688,1176,0,64,234
81,3716,1179,0,63,233
76,3739,1181,0,60,221
76,3757,1183,0,60,221
76,3775,1185,0,61,221
76,3793,1187,0,61,221
77,3811,1189,0,61,228
78,3830,1191,0,61,228
78,3850,1193,0,60,227
79,3870,1195,0,61,230
78,3891,1197,0,60,227
79,3911,1199,0,62,229
79,3932,1201,0,62,229
78,3953,1203,0,62,227
77,3973,1205,0,62,224
77,3992,1207,0,62,224
77,4011,1209,0,63,224
76,4026,1210,0,62,223
76,4040,1211,0,62,222
76,4054,1212,0,61,224
76,4068,1213,0,61,224
76,4082,1214,0,61,224
76,4096,1215,0,61,224
76,4110,1216,0,61,226
76,4124,1217,0,62,225
77,4138,1218,0,63,230
77,4153,1219,0,63,231
76,4168,1220,0,63,228
77,4182,1221,0,64,230
86,4197,1223,0,70,242
86,4221,1225,0,70,243
86,4245,1227,0,70,243
86,4269,1229,0,70,245
86,4293,1231,0,70,245
86,4315,1232,0,71,248
89,4336,1233,0,74,255
89,4360,1234,0,74,253
89,4384,1235,0,74,252
89,4408,1236,0,74,254
89,4432,1237,0,74,254
89,4456,1238,0,74,253
89,4480,1239,0,74,257
87,4504,1240,0,72,251
88,4526,1241,0,73,253
87,4549,1242,0,71,252
89,4571,1243,0,74,257
88,4595,1244,0,73,255
88,4618,1245,0,73,255
89,4641,1247,0,74,258
87,4665,1250,0,72,252
87,4687,1253,0,72,252
87,4709,1256,0,72,252
87,4731,1259,0,72,253
88,4753,1262,0,72,260
89,4776,1266,0,74,264
90,4800,1270,0,74,271
88,4823,1277,0,73,261
88,4844,1284,0,73,261
84,4863,1291,0,71,252
89,4876,1298,0,75,263
89,4892,1305,0,73,267
92,4908,1314,0,72,277
92,4927,1323,0,73,277
92,4946,1332,0,73,278
92,4965,1341,0,71,279
92,4984,1350,0,73,278
93,5003,1357,0,78,281
93,5023,1364,0,78,281
93,5043,1371,0,77,281
93,5063,1378,0,77,281
93,5083,1386,0,77,285
93,5103,1394,0,77,285
93,5123,1405,0,77,285
92,5143,1417,0,78,281
92,5162,1429,0,78,281
93,5176,1442,0,77,285
93,5191,1455,0,77,285
93,5205,1469,0,78,291
93,5219,1483,0,78,291
95,5230,1497,0,79,293
95,5243,1511,0,79,293
96,5254,1526,0,79,298
95,5266,1541,0,79,295
95,5277,1556,0,78,295
95,5288,1571,0,78,295
95,5299,1586,0,78,295
95,5309,1603,0,77,296
96,5318,1620,0,77,297
96,5328,1639,0,77,297
97,5338,1658,0,78,297
97,5349,1677,0,75,296
97,5360,1705,0,77,292
94,5370,1730,0,78,289
93,5374,1756,0,79,286
93,5377,1782,0,79,286
93,5380,1808,0,79,286
93,5383,1834,0,78,286
93,5386,1860,0,78,286
93,5389,1886,0,78,287
93,5392,1912,0,78,287
93,5395,1938,0,78,287
93,5398,1964,0,78,287
93,5401,1990,0,78,287
94,5404,2014,0,80,290
94,5408,2039,0,79,292
94,5412,2065,0,78,292
94,5416,2091,0,78,292
94,5420,2115,0,78,292
94,5424,2139,0,78,292
94,5428,2163,0,78,292
96,5432,2189,0,81,299
96,5438,2215,0,81,299
96,5443,2242,0,81,297
96,5448,2270,0,79,302
96,5453,2298,0,79,302
96,5458,2324,0,80,301
96,5463,2350,0,80,301
96,5468,2376,0,80,301
96,5473,2402,0,80,301
97,5478,2431,0,81,308
97,5482,2456,0,82,308
98,5486,2481,0,82,311
97,5491,2505,0,83,309
97,5495,2529,0,83,309
97,5497,2549,0,84,312
97,5499,2569,0,84,312
97,5501,2589,0,84,312
97,5503,2611,0,85,312
97,5505,2633,0,85,312
97,5507,2655,0,85,312
99,5509,2677,0,86,313
99,5513,2699,0,87,313
99,5517,2721,0,86,313
101,5521,2738,0,86,315
101,5527,2755,0,86,315
101,5533,2772,0,86,315
105,5539,2789,0,88,320
106,5549,2806,0,88,322
109,5559,2821,0,88,326
110,5572,2830,0,90,325
110,5586,2839,0,90,327
110,5600,2846,0,91,326
110,5614,2853,0,91,326
110,5628,2858,0,93,326
113,5642,2863,0,95,333
113,5659,2868,0,95,331
113,5676,2873,0,95,331
113,5693,2878,0,95,331
113,5710,2883,0,95,331
113,5727,2888,0,95,331
113,5744,2893,0,95,332
115,5761,2898,0,96,335
115,5780,2903,0,96,335
115,5799,2908,0,96,334
115,5818,2913,0,96,334
115,5837,2918,0,96,334
115,5855,2924,0,96,336
116,5873,2928,0,95,339
116,5892,2932,0,95,341
116,5911,2936,0,95,341
115,5929,2940,0,95,340
115,5946,2944,0,96,340
115,5963,2946,0,96,340
115,5980,2948,0,96,340
119,5997,2950,0,99,344
119,6018,2952,0,99,344
119,6039,2954,0,101,344
116,6060,2956,0,98,337
116,6078,2958,0,98,337
116,6096,2960,0,99,338
116,6114,2962,0,99,338
114,6131,2962,0,98,336
114,6146,2962,0,98,336
115,6161,2962,0,99,337
115,6177,2962,0,99,337
113,6192,2962,0,97,333
113,6205,2962,0,97,333
113,6218,2962,0,97,334
113,6231,2962,0,97,334
113,6244,2962,0,97,334
113,6257,2962,0,97,334
113,6270,2962,0,97,334
113,6283,2962,0,97,334
113,6296,2962,0,97,334
113,6309,2962,0,97,334
113,6322,2962,0,95,335
117,6335,2962,0,98,337
117,6352,2962,0,99,340
117,6369,2962,0,99,340
117,6386,2962,0,99,340
116,6403,2962,0,98,338
