timestamp(ns),elapsed(s)
0,0.000284477
1000000000,0.000438457
2000000000,0.000601165
3000000000,0.00102937
4000000000,0.00193981
5000000000,0.00224533
6000000000,0.001253
7000000000,0.00170226
8000000000,0.00195315
9000000000,0.00249266
10000000000,0.00334295
11000000000,0.0025155
12000000000,0.00203584
13000000000,0.00385916
14000000000,0.00343481
15000000000,0.00413636
16000000000,0.00376107
17000000000,0.00286108
18000000000,0.0028192
19000000000,0.00286038
20000000000,0.00286531
21000000000,0.00273072
22000000000,0.00363598
23000000000,0.00295053
24000000000,0.00298487
25000000000,0.00295585
26000000000,0.00311494
27000000000,0.00367919
28000000000,0.00394797
29000000000,0.00369991
30000000000,0.00480596
31000000000,0.00333995
32000000000,0.00356416
33000000000,0.00335538
34000000000,0.00351564
35000000000,0.0036131
36000000000,0.00349255
37000000000,0.00376418
38000000000,0.00349535
39000000000,0.00445955
40000000000,0.00382401
41000000000,0.00430697
42000000000,0.00371924
43000000000,0.00394717
44000000000,0.00448929
45000000000,0.00392865
46000000000,0.00382953
47000000000,0.00382029
48000000000,0.00378057
49000000000,0.00385164
50000000000,0.00383188
51000000000,0.00387196
52000000000,0.00417517
53000000000,0.0039526
54000000000,0.00394094
55000000000,0.00400635
56000000000,0.0042365
57000000000,0.00428898
58000000000,0.00488848
59000000000,0.00447425
60000000000,0.00447409
61000000000,0.00485834
62000000000,0.00486554
63000000000,0.00498152
64000000000,0.0048714
65000000000,0.00519442
66000000000,0.00522063
67000000000,0.00516731
68000000000,0.00514671
69000000000,0.00527709
70000000000,0.00525093
71000000000,0.00531175
72000000000,0.00552604
73000000000,0.00546725
74000000000,0.00550911
75000000000,0.00564204
76000000000,0.0057816
77000000000,0.0057465
78000000000,0.00566336
79000000000,0.00566719
80000000000,0.00680322
81000000000,0.00618151
82000000000,0.00566845
83000000000,0.0062875
84000000000,0.00637281
85000000000,0.00590998
86000000000,0.00618608
87000000000,0.00605859
88000000000,0.0061999
89000000000,0.00615133
90000000000,0.00624027
91000000000,0.00634488
92000000000,0.00628214
93000000000,0.00633971
94000000000,0.00624588
95000000000,0.00622738
96000000000,0.00639328
97000000000,0.00668831
98000000000,0.00642041
99000000000,0.00634216
100000000000,0.00648964
101000000000,0.00642006
102000000000,0.00655885
103000000000,0.00660881
104000000000,0.00663945
105000000000,0.00654604
106000000000,0.00655888
107000000000,0.0070562
108000000000,0.00693613
109000000000,0.00714468
110000000000,0.00675024
111000000000,0.00669256
112000000000,0.0069163
113000000000,0.00684396
114000000000,0.00693185
115000000000,0.00745017
116000000000,0.00713056
117000000000,0.00722524
118000000000,0.00728596
119000000000,0.00730252
120000000000,0.00726402
121000000000,0.00737739
122000000000,0.00763597
123000000000,0.00874325
124000000000,0.00799419
125000000000,0.00825661
126000000000,0.00817439
127000000000,0.00858153
128000000000,0.00834621
129000000000,0.00837727
130000000000,0.00846934
131000000000,0.00843477
132000000000,0.00856017
133000000000,0.00849824
134000000000,0.00854128
135000000000,0.00876051
136000000000,0.00885542
137000000000,0.00906534
138000000000,0.00894249
139000000000,0.00950039
140000000000,0.00944646
141000000000,0.00931114
142000000000,0.00956774
143000000000,0.00956615
144000000000,0.010698
145000000000,0.00978621
146000000000,0.0097789
147000000000,0.0095525
148000000000,0.00978453
149000000000,0.00981038
150000000000,0.00993258
151000000000,0.0099754
152000000000,0.0099499
153000000000,0.00987079
154000000000,0.00988862
155000000000,0.0100021
156000000000,0.0103706
157000000000,0.0101854
158000000000,0.0105948
159000000000,0.010422
160000000000,0.0100077
161000000000,0.0104968
162000000000,0.0104473
163000000000,0.0103323
164000000000,0.0103972
165000000000,0.010891
166000000000,0.0125861
