timestamp(ns),elapsed(s)
0,6.382e-06
1000000000,9.327e-06
2000000000,8.365e-06
3000000000,1.1592e-05
4000000000,3.0438e-05
5000000000,3.7842e-05
6000000000,1.6542e-05
7000000000,4.9624e-05
8000000000,5.1397e-05
9000000000,3.2672e-05
10000000000,3.8102e-05
11000000000,2.4827e-05
12000000000,2.5398e-05
13000000000,5.4213e-05
14000000000,6.3569e-05
15000000000,3.1139e-05
16000000000,5.5715e-05
17000000000,4.0497e-05
18000000000,2.8093e-05
19000000000,6.6956e-05
20000000000,2.9095e-05
21000000000,2.9997e-05
22000000000,7.0964e-05
23000000000,3.2301e-05
24000000000,3.1739e-05
25000000000,3.191e-05
26000000000,3.4025e-05
27000000000,3.3734e-05
28000000000,8.8437e-05
29000000000,3.3674e-05
30000000000,5.0215e-05
31000000000,4.1248e-05
32000000000,4.204e-05
33000000000,4.5095e-05
34000000000,6.3239e-05
35000000000,6.1856e-05
36000000000,3.6048e-05
37000000000,3.6459e-05
38000000000,3.4585e-05
39000000000,3.6229e-05
40000000000,5.6947e-05
41000000000,5.282e-05
42000000000,3.5647e-05
43000000000,3.5066e-05
44000000000,3.6078e-05
45000000000,6.7969e-05
46000000000,3.6168e-05
47000000000,3.7431e-05
48000000000,3.8884e-05
49000000000,3.9124e-05
50000000000,3.9214e-05
51000000000,3.8613e-05
52000000000,3.9965e-05
53000000000,4.0045e-05
54000000000,3.7741e-05
55000000000,3.9985e-05
56000000000,7.0273e-05
57000000000,0.000128282
58000000000,4.2881e-05
59000000000,4.4283e-05
60000000000,4.4915e-05
61000000000,8.3458e-05
62000000000,4.75e-05
63000000000,8.4389e-05
64000000000,4.6427e-05
65000000000,8.8147e-05
66000000000,4.6207e-05
67000000000,4.7199e-05
68000000000,4.9854e-05
69000000000,4.4835e-05
70000000000,4.6007e-05
71000000000,5.0676e-05
72000000000,7.8528e-05
73000000000,4.7009e-05
74000000000,7.9319e-05
75000000000,5.2859e-05
76000000000,8.6824e-05
77000000000,8.6633e-05
78000000000,9.0581e-05
79000000000,0.000110027
80000000000,8.0442e-05
81000000000,8.3938e-05
82000000000,5.5184e-05
83000000000,7.1095e-05
84000000000,7.8939e-05
85000000000,4.8953e-05
86000000000,4.6157e-05
87000000000,4.6428e-05
88000000000,4.3432e-05
89000000000,4.1969e-05
90000000000,3.9625e-05
91000000000,3.5888e-05
92000000000,3.5757e-05
93000000000,3.6048e-05
94000000000,3.5918e-05
95000000000,3.3874e-05
96000000000,3.3764e-05
97000000000,3.4225e-05
98000000000,3.3773e-05
99000000000,3.3994e-05
100000000000,3.3854e-05
101000000000,3.3894e-05
102000000000,3.4485e-05
103000000000,3.4235e-05
104000000000,3.3794e-05
105000000000,3.4906e-05
106000000000,3.5217e-05
107000000000,6.2628e-05
108000000000,6.4472e-05
109000000000,6.5724e-05
110000000000,4.1839e-05
111000000000,4.0226e-05
112000000000,4.3352e-05
113000000000,4.4554e-05
114000000000,4.5435e-05
115000000000,8.3458e-05
116000000000,5.1988e-05
117000000000,5.257e-05
118000000000,5.298e-05
119000000000,5.3211e-05
120000000000,5.4232e-05
121000000000,5.5985e-05
122000000000,5.815e-05
123000000000,6.1336e-05
124000000000,6.392e-05
