nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
1,0,0,1,0,0
2,0,0,2,0,0
2,0,0,2,0,0
6,0,0,6,0,0
6,1,0,6,0,0
6,3,0,6,0,0
6,4,0,6,0,0
7,5,0,7,0,0
7,5,0,7,0,0
7,5,0,7,0,0
7,5,0,7,0,0
7,5,0,7,0,0
8,5,0,8,0,0
9,5,0,9,0,0
9,6,0,9,0,0
10,6,0,10,0,0
10,7,0,10,0,0
10,8,0,10,0,0
11,8,0,11,0,0
12,8,0,12,0,0
13,8,0,13,0,0
13,8,0,13,0,0
14,8,0,14,0,0
14,9,0,14,0,0
14,9,0,14,0,0
17,9,0,17,0,0
17,10,0,17,0,0
17,10,0,17,0,0
17,10,0,17,0,0
17,10,0,17,0,0
16,11,0,16,0,0
17,11,0,17,0,0
16,12,0,16,0,0
16,12,0,16,0,0
16,12,0,16,0,0
17,12,0,17,0,0
17,12,0,17,0,0
17,12,0,17,0,0
17,12,0,17,0,0
18,13,0,18,0,0
16,15,0,16,0,0
16,15,0,16,0,0
16,15,0,16,0,0
16,15,0,16,0,0
16,15,0,16,0,0
17,15,0,17,0,0
17,15,0,17,0,0
17,16,0,17,0,0
17,16,0,17,0,0
17,16,0,17,0,0
17,16,0,17,0,0
17,16,0,17,0,0
17,16,0,17,0,0
17,16,0,17,0,0
18,16,0,18,0,0
18,17,0,18,0,0
18,17,0,18,0,0
18,17,0,18,0,0
18,17,0,18,0,0
18,17,0,18,0,0
18,17,0,18,0,0
20,17,0,20,0,0
20,18,0,20,0,0
20,18,0,20,0,0
22,18,0,22,0,0
23,19,0,23,0,0
23,19,0,23,0,0
23,19,0,23,0,0
24,19,0,24,0,0
24,20,0,24,0,0
25,20,0,25,0,0
25,20,0,25,0,0
25,21,0,25,0,0
25,21,0,25,0,0
25,21,0,25,0,0
25,21,0,25,0,0
25,21,0,25,0,0
25,21,0,25,0,0
25,21,0,25,0,0
25,21,0,25,0,0
25,21,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
25,22,0,25,0,0
27,22,0,27,0,0
26,23,0,26,0,0
26,23,0,26,0,0
26,23,0,26,0,0
26,23,0,26,0,0
26,23,0,26,0,0
26,24,0,26,0,0
25,25,0,25,0,0
25,25,0,25,0,0
25,25,0,25,0,0
25,25,0,25,0,0
25,25,0,25,0,0
25,25,0,25,0,0
25,25,0,25,0,0
25,25,0,25,0,0
25,26,0,25,0,0
25,27,0,25,0,0
26,27,0,26,0,0
26,27,0,26,0,0
26,28,0,26,0,0
26,28,0,26,0,0
29,28,0,29,0,0
29,29,0,29,0,0
29,30,0,29,0,0
29,31,0,29,0,0
30,31,0,30,0,0
29,32,0,29,0,0
30,32,0,30,0,0
30,32,0,30,0,0
31,32,0,31,0,0
31,33,0,31,0,0
34,33,0,34,0,0
35,35,0,35,0,0
36,36,0,36,0,0
38,38,0,38,0,0
38,41,0,38,0,0
37,42,0,37,0,0
38,45,0,38,0,0
38,45,0,38,0,0
38,45,0,38,0,0
38,45,0,38,0,0
38,45,0,38,0,0
38,45,0,38,0,0
38,46,0,38,0,0
38,46,0,38,0,0
38,46,0,38,0,0
38,49,0,38,0,0
39,50,0,39,0,0
40,50,0,40,0,0
41,50,0,41,0,0
40,51,0,40,0,0
40,52,0,40,0,0
40,53,0,40,0,0
40,54,0,40,0,0
42,55,0,42,0,0
42,55,0,42,0,0
42,56,0,42,0,0
44,56,0,44,0,0
44,59,0,44,0,0
44,62,0,44,0,0
44,62,0,44,0,0
45,62,0,45,0,0
45,62,0,45,0,0
45,62,0,45,0,0
45,63,0,45,0,0
45,63,0,45,0,0
45,64,0,45,0,0
45,64,0,45,0,0
45,64,0,45,0,0
45,64,0,45,0,0
45,65,0,45,0,0
45,65,0,45,0,0
45,65,0,45,0,0
46,65,0,46,0,0
49,65,0,49,0,0
53,65,0,53,0,0
52,66,0,52,0,0
53,66,0,53,0,0
53,67,0,53,0,0
54,69,0,54,0,0
54,69,0,54,0,0
54,69,0,54,0,0
54,69,0,54,0,0
54,69,0,54,0,0
54,70,0,54,0,0
55,70,0,55,0,0
55,72,0,55,0,0
60,72,0,60,0,0
60,72,0,60,0,0
60,72,0,60,0,0
60,73,0,60,0,0
60,74,0,60,0,0
62,76,0,62,0,0
62,77,0,62,0,0
62,77,0,62,0,0
62,77,0,62,0,0
62,78,0,62,0,0
61,79,0,61,0,0
62,79,0,62,0,0
62,79,0,62,0,0
62,80,0,62,0,0
62,80,0,62,0,0
62,80,0,62,0,0
62,80,0,62,0,0
62,80,0,62,0,0
62,80,0,62,0,0
62,80,0,62,0,0
62,80,0,62,0,0
62,80,0,62,0,0
62,81,0,62,0,0
62,82,0,62,0,0
62,82,0,62,0,0
62,82,0,62,0,0
63,83,0,63,0,0
63,84,0,63,0,0
63,84,0,63,0,0
63,84,0,63,0,0
64,84,0,64,0,0
64,85,0,64,0,0
64,86,0,64,0,0
64,87,0,64,0,0
64,88,0,64,0,0
63,89,0,63,0,0
64,89,0,64,0,0
64,89,0,64,0,0
64,90,0,64,0,0
65,91,0,65,0,0
65,92,0,65,0,0
65,93,0,65,0,0
65,93,0,65,0,0
65,93,0,65,0,0
65,93,0,65,0,0
65,93,0,65,0,0
66,93,0,66,0,0
66,93,0,66,0,0
67,93,0,67,0,0
67,93,0,67,0,0
67,94,0,67,0,0
67,94,0,67,0,0
67,94,0,67,0,0
66,95,0,66,0,0
66,95,0,66,0,0
66,95,0,66,0,0
66,95,0,66,0,0
66,95,0,66,0,0
68,95,0,68,0,0
68,95,0,68,0,0
69,96,0,69,0,0
69,96,0,69,0,0
69,96,0,69,0,0
69,96,0,69,0,0
69,97,0,69,0,0
67,99,0,67,0,0
68,99,0,68,0,0
68,100,0,68,0,0
68,101,0,68,0,0
68,101,0,68,0,0
69,102,0,69,0,0
69,102,0,69,0,0
69,103,0,69,0,0
68,104,0,68,0,0
69,105,0,69,0,0
70,107,0,70,0,0
71,108,0,71,0,0
73,108,0,73,0,0
76,108,0,76,0,0
76,108,0,76,0,0
76,108,0,76,0,0
74,112,0,74,0,0
75,115,0,75,0,0
74,117,0,74,0,0
74,118,0,74,0,0
74,119,0,74,0,0
74,120,0,74,0,0
74,121,0,74,0,0
74,121,0,74,0,0
74,121,0,74,0,0
75,121,0,75,0,0
75,121,0,75,0,0
75,122,0,75,0,0
77,122,0,77,0,0
77,123,0,77,0,0
77,123,0,77,0,0
77,124,0,77,0,0
77,124,0,77,0,0
77,124,0,77,0,0
76,125,0,76,0,0
77,125,0,77,0,0
77,126,0,77,0,0
78,126,0,78,0,0
78,127,0,78,0,0
80,127,0,80,0,0
80,127,0,80,0,0
80,127,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
80,128,0,80,0,0
81,128,0,81,0,0
80,129,0,80,0,0
80,129,0,80,0,0
80,129,0,80,0,0
80,129,0,80,0,0
80,129,0,80,0,0
80,129,0,80,0,0
80,129,0,80,0,0
80,129,0,80,0,0
80,129,0,80,0,0
80,129,0,80,0,0
81,129,0,81,0,0
80,130,0,80,0,0
80,130,0,80,0,0
80,130,0,80,0,0
80,130,0,80,0,0
80,130,0,80,0,0
80,130,0,80,0,0
80,130,0,80,0,0
81,130,0,81,0,0
83,130,0,83,0,0
83,131,0,83,0,0
85,131,0,85,0,0
85,132,0,85,0,0
86,133,0,86,0,0
86,133,0,86,0,0
87,133,0,87,0,0
87,133,0,87,0,0
87,133,0,87,0,0
87,134,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
87,135,0,87,0,0
88,135,0,88,0,0
88,136,0,88,0,0
88,137,0,88,0,0
89,137,0,89,0,0
89,137,0,89,0,0
91,137,0,91,0,0
92,138,0,92,0,0
92,139,0,92,0,0
92,140,0,92,0,0
93,140,0,93,0,0
93,140,0,93,0,0
93,142,0,93,0,0
93,143,0,93,0,0
93,144,0,93,0,0
93,145,0,93,0,0
93,145,0,93,0,0
