nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
2,0,0,0,1,1
4,2,0,0,3,3
5,6,0,0,3,5
6,11,0,0,5,8
8,17,0,0,5,11
11,25,0,0,7,17
15,36,0,0,5,25
17,51,0,0,7,26
19,68,0,0,7,34
19,87,0,0,7,31
23,106,0,0,11,43
23,129,0,0,11,40
22,152,0,0,10,41
22,174,0,0,11,41
24,196,0,0,11,42
24,220,0,0,12,42
21,243,0,0,10,34
23,263,0,0,11,38
26,285,0,0,12,46
26,310,0,0,13,48
25,335,0,0,13,48
26,359,0,0,14,49
30,384,0,0,14,52
30,413,0,0,15,53
29,442,0,0,14,52
29,470,0,0,15,51
32,498,0,0,16,57
32,529,0,0,17,59
34,560,0,0,19,63
30,591,0,0,20,54
30,618,0,0,20,52
43,644,0,0,23,84
41,683,0,0,22,78
36,719,0,0,19,67
36,750,0,0,19,67
36,780,0,0,20,67
36,810,0,0,20,67
36,839,0,0,18,72
34,865,0,0,18,62
35,889,0,0,20,66
35,914,0,0,20,66
35,939,0,0,20,68
35,964,0,0,20,68
33,988,0,0,19,59
35,1010,0,0,20,67
35,1034,0,0,20,67
35,1058,0,0,20,67
38,1082,0,0,21,71
38,1109,0,0,22,84
39,1136,0,0,22,86
38,1164,0,0,19,89
38,1191,0,0,19,90
40,1218,0,0,24,79
39,1247,0,0,21,94
37,1275,0,0,20,81
40,1301,0,0,20,88
37,1330,0,0,19,79
41,1356,0,0,21,94
43,1384,0,0,23,92
44,1414,0,0,24,93
44,1445,0,0,25,97
50,1476,0,0,27,112
49,1513,0,0,28,110
48,1549,0,0,26,108
48,1583,0,0,28,109
50,1614,0,0,30,116
50,1647,0,0,30,114
49,1679,0,0,29,109
46,1707,0,0,29,102
50,1731,0,0,32,110
52,1759,0,0,33,118
51,1785,0,0,31,116
51,1810,0,0,30,118
55,1835,0,0,33,127
55,1864,0,0,33,127
55,1893,0,0,33,127
55,1922,0,0,33,127
55,1951,0,0,33,127
55,1980,0,0,33,127
55,2009,0,0,33,127
55,2038,0,0,33,127
55,2067,0,0,33,127
56,2096,0,0,33,128
56,2126,0,0,33,128
56,2156,0,0,34,128
56,2186,0,0,34,128
48,2216,0,0,27,109
50,2236,0,0,32,106
53,2258,0,0,31,116
53,2283,0,0,35,116
47,2305,0,0,30,108
47,2321,0,0,31,110
47,2337,0,0,31,110
47,2353,0,0,31,110
47,2368,0,0,31,110
47,2383,0,0,31,110
47,2398,0,0,31,110
47,2413,0,0,31,110
47,2428,0,0,31,110
47,2443,0,0,31,110
47,2458,0,0,31,110
47,2473,0,0,31,110
47,2488,0,0,31,110
47,2503,0,0,31,110
47,2518,0,0,31,110
47,2533,0,0,31,110
47,2548,0,0,31,110
50,2563,0,0,33,118
51,2581,0,0,35,126
53,2600,0,0,36,128
59,2621,0,0,40,149
57,2648,0,0,39,148
60,2673,0,0,38,165
61,2701,0,0,37,174
60,2730,0,0,38,162
61,2758,0,0,38,171
69,2786,0,0,43,197
70,2822,0,0,41,199
70,2857,0,0,43,197
70,2892,0,0,43,197
71,2925,0,0,44,207
77,2959,0,0,43,224
79,2999,0,0,44,214
78,3041,0,0,46,220
81,3079,0,0,45,217
83,3120,0,0,50,220
86,3163,0,0,49,234
86,3209,0,0,49,234
83,3251,0,0,46,223
83,3290,0,0,47,223
85,3329,0,0,48,225
85,3370,0,0,47,225
85,3411,0,0,47,226
85,3452,0,0,47,226
82,3487,0,0,49,224
88,3519,0,0,52,251
89,3548,0,0,54,251
92,3576,0,0,54,256
91,3607,0,0,55,250
90,3637,0,0,57,251
92,3666,0,0,60,251
92,3696,0,0,59,250
91,3725,0,0,57,253
90,3753,0,0,56,252
89,3780,0,0,57,245
90,3806,0,0,57,249
90,3833,0,0,58,250
90,3860,0,0,58,249
91,3887,0,0,61,244
91,3915,0,0,61,243
92,3943,0,0,62,253
96,3971,0,0,62,259
95,4003,0,0,60,254
95,4034,0,0,60,254
96,4065,0,0,63,257
96,4097,0,0,63,257
96,4129,0,0,63,257
96,4161,0,0,62,257
101,4193,0,0,62,264
101,4230,0,0,62,264
101,4267,0,0,63,264
101,4304,0,0,62,264
101,4341,0,0,63,263
101,4378,0,0,64,262
99,4415,0,0,60,263
97,4446,0,0,63,258
97,4475,0,0,63,258
98,4503,0,0,65,264
98,4531,0,0,64,263
103,4555,0,0,70,281
103,4584,0,0,70,283
103,4613,0,0,70,284
103,4642,0,0,70,282
103,4671,0,0,70,282
103,4700,0,0,70,282
104,4728,0,0,67,281
100,4755,0,0,66,273
104,4778,0,0,68,279
111,4803,0,0,72,294
113,4835,0,0,74,296
110,4866,0,0,73,295
104,4892,0,0,70,281
104,4912,0,0,70,281
104,4932,0,0,71,281
104,4952,0,0,71,281
105,4972,0,0,71,288
106,4993,0,0,71,288
106,5015,0,0,70,287
107,5037,0,0,71,290
106,5060,0,0,70,287
107,5082,0,0,72,289
107,5105,0,0,72,289
106,5128,0,0,72,287
105,5150,0,0,72,284
105,5171,0,0,72,284
105,5192,0,0,73,284
104,5208,0,0,72,283
104,5223,0,0,72,282
104,5238,0,0,71,282
