timestamp(ns),elapsed(s)
0,0.00183635
1000000000,0.00487388
2000000000,0.00458536
3000000000,0.00450078
4000000000,0.00500808
5000000000,0.00531533
6000000000,0.00619962
7000000000,0.00890264
8000000000,0.00634093
9000000000,0.0080396
10000000000,0.00595313
11000000000,0.00526465
12000000000,0.00670139
13000000000,0.00518775
14000000000,0.00748527
15000000000,0.00729512
16000000000,0.0040694
17000000000,0.00438546
18000000000,0.00951441
19000000000,0.0159672
20000000000,0.0122711
21000000000,0.00859643
22000000000,0.00662873
23000000000,0.011571
24000000000,0.00993603
25000000000,0.0066799
26000000000,0.00831961
27000000000,0.00725963
28000000000,0.00623664
29000000000,0.00588648
30000000000,0.00689241
31000000000,0.00770738
32000000000,0.00660084
33000000000,0.00467659
34000000000,0.00690731
35000000000,0.00640013
36000000000,0.0041694
37000000000,0.00318438
38000000000,0.000997393
39000000000,0.00870572
40000000000,0.0133796
41000000000,0.0137366
42000000000,0.00806916
43000000000,0.00974968
44000000000,0.0122681
45000000000,0.00984348
46000000000,0.00916521
47000000000,0.00853188
48000000000,0.0109934
49000000000,0.00855137
50000000000,0.0163365
51000000000,0.0111736
52000000000,0.0119892
53000000000,0.00748462
54000000000,0.0125131
55000000000,0.00737514
56000000000,0.00895772
57000000000,0.00772479
58000000000,0.00931262
59000000000,0.0057787
60000000000,0.0111144
61000000000,0.00621028
62000000000,0.00514981
63000000000,0.00479403
64000000000,0.00507094
65000000000,0.00759645
66000000000,0.00561842
67000000000,0.00637683
68000000000,0.00309755
69000000000,0.00932058
70000000000,0.00621351
71000000000,0.00469072
72000000000,0.00821722
73000000000,0.00939051
74000000000,0.00511645
75000000000,0.00305948
76000000000,0.00891237
77000000000,0.00869978
78000000000,0.00767649
79000000000,0.00876587
80000000000,0.0107907
81000000000,0.00773753
82000000000,0.00868234
83000000000,0.0123648
84000000000,0.00336847
85000000000,0.00333654
86000000000,0.00447976
87000000000,0.00197867
88000000000,0.00271878
89000000000,0.00233263
90000000000,0.00150479
91000000000,0.00632553
92000000000,0.00781097
93000000000,0.00655972
94000000000,0.00344167
95000000000,0.00125768
96000000000,0.00705879
97000000000,0.00779665
98000000000,0.0107647
99000000000,0.00613144
100000000000,0.00174243
101000000000,0.0113877
102000000000,0.00870793
103000000000,0.00833138
104000000000,0.0117797
105000000000,0.00770011
106000000000,0.00748297
107000000000,0.00835151
108000000000,0.00936562
109000000000,0.00818371
110000000000,0.0105315
111000000000,0.00888663
112000000000,0.00613609
113000000000,0.00869575
114000000000,0.00714362
115000000000,0.00669729
116000000000,0.00782507
117000000000,0.00677735
118000000000,0.0043451
119000000000,0.0074869
120000000000,0.0080796
121000000000,0.00899252
122000000000,0.00602351
123000000000,0.00596618
124000000000,0.00583825
125000000000,0.00957413
126000000000,0.00861506
127000000000,0.00730473
128000000000,0.00638227
129000000000,0.00847777
130000000000,0.0159977
131000000000,0.0087215
132000000000,0.00488992
133000000000,0.00467792
134000000000,0.00533403
135000000000,0.00592465
136000000000,0.00740542
137000000000,0.00930159
138000000000,0.00696748
139000000000,0.00995064
140000000000,0.0073558
141000000000,0.00807093
142000000000,0.00894217
143000000000,0.00999801
144000000000,0.0094441
145000000000,0.0158574
146000000000,0.0153382
147000000000,0.0120522
148000000000,0.0176627
149000000000,0.00778448
150000000000,0.00612431
151000000000,0.00424426
152000000000,0.00989763
153000000000,0.0145275
154000000000,0.01223
155000000000,0.0151981
156000000000,0.0149332
157000000000,0.00936878
158000000000,0.010238
159000000000,0.00840845
160000000000,0.0110846
161000000000,0.00774512
162000000000,0.00907042
163000000000,0.00521193
164000000000,0.00874771
165000000000,0.00791816
166000000000,0.00955981
167000000000,0.00871017
168000000000,0.0117074
169000000000,0.010864
170000000000,0.0102364
171000000000,0.00839653
172000000000,0.011575
173000000000,0.0049211
174000000000,0.00791912
175000000000,0.00819215
176000000000,0.00823581
177000000000,0.00828237
178000000000,0.0168061
179000000000,0.0107091
180000000000,0.00765616
181000000000,0.00855544
182000000000,0.00742164
183000000000,0.015083
184000000000,0.0129102
185000000000,0.0149072
186000000000,0.0116749
187000000000,0.0125235
188000000000,0.00780659
189000000000,0.0114216
190000000000,0.00981105
191000000000,0.0130471
192000000000,0.00503711
193000000000,0.0047116
194000000000,0.00386461
195000000000,0.00756099
196000000000,0.00400388
197000000000,0.0049993
198000000000,0.0109904
199000000000,0.0155078
200000000000,0.0217534
201000000000,0.0177992
202000000000,0.0117493
203000000000,0.0119358
204000000000,0.012263
205000000000,0.00998931
206000000000,0.00948988
207000000000,0.013686
208000000000,0.00556099
209000000000,0.00809118
210000000000,0.0103657
211000000000,0.00609177
212000000000,0.0077375
213000000000,0.00596146
214000000000,0.00354868
215000000000,0.0149497
216000000000,0.015981
217000000000,0.0136534
218000000000,0.0113895
219000000000,0.0147156
220000000000,0.0200073
221000000000,0.0131272
222000000000,0.01646
223000000000,0.0160129
224000000000,0.0129489
225000000000,0.0123777
226000000000,0.00844717
227000000000,0.00875759
228000000000,0.00896895
229000000000,0.0121869
230000000000,0.00830874
231000000000,0.00641317
232000000000,0.00871934
233000000000,0.00986596
234000000000,0.00582288
235000000000,0.00611378
236000000000,0.00630284
237000000000,0.00583318
238000000000,0.00528795
239000000000,0.00840064
240000000000,0.00943909
241000000000,0.0119806
242000000000,0.0146899
243000000000,0.0168776
244000000000,0.0100434
245000000000,0.0127856
246000000000,0.0178146
247000000000,0.00962573
248000000000,0.0100105
249000000000,0.00918887
250000000000,0.00798534
251000000000,0.0130782
252000000000,0.0134159
253000000000,0.00915436
254000000000,0.00669964
255000000000,0.00520457
256000000000,0.00850326
257000000000,0.00484281
258000000000,0.00268116
259000000000,0.00464385
260000000000,0.00736004
261000000000,0.0141417
262000000000,0.0161496
263000000000,0.0103962
264000000000,0.00934332
265000000000,0.010579
266000000000,0.00729285
267000000000,0.0078924
268000000000,0.0103344
269000000000,0.0128863
270000000000,0.0136056
271000000000,0.00704615
272000000000,0.00776715
273000000000,0.00347961
274000000000,0.00388571
275000000000,0.00454924
276000000000,0.00715814
277000000000,0.00729976
278000000000,0.00963915
279000000000,0.0152677
280000000000,0.0122039
281000000000,0.0182659
282000000000,0.0151184
283000000000,0.0108943
284000000000,0.00895951
285000000000,0.0134014
286000000000,0.0110934
287000000000,0.0163166
288000000000,0.0143992
