timestamp(ns),elapsed(s)
0,9.117e-06
1000000000,6.442e-06
2000000000,6.682e-06
3000000000,1.3535e-05
4000000000,1.3336e-05
5000000000,9.608e-06
6000000000,2.0298e-05
7000000000,1.2363e-05
8000000000,1.3576e-05
9000000000,1.2233e-05
10000000000,1.3816e-05
11000000000,2.0769e-05
12000000000,2.0118e-05
13000000000,1.7754e-05
14000000000,1.549e-05
15000000000,5.1598e-05
16000000000,0.000149131
17000000000,1.4688e-05
18000000000,2.102e-05
19000000000,2.0028e-05
20000000000,2.2623e-05
21000000000,2.2622e-05
22000000000,3.3073e-05
23000000000,2.4205e-05
24000000000,2.2353e-05
25000000000,2.3996e-05
26000000000,2.8153e-05
27000000000,2.5047e-05
28000000000,2.6209e-05
29000000000,0.000170723
30000000000,0.00028057
31000000000,0.00157199
32000000000,2.3264e-05
33000000000,0.000366602
34000000000,0.000277123
35000000000,0.000735098
36000000000,0.000486488
37000000000,0.000714098
38000000000,0.00109152
39000000000,2.0709e-05
40000000000,2.5257e-05
41000000000,2.7683e-05
42000000000,2.4727e-05
43000000000,2.3965e-05
44000000000,2.6079e-05
45000000000,2.7342e-05
46000000000,2.9395e-05
47000000000,2.8824e-05
48000000000,2.7873e-05
49000000000,3.1259e-05
50000000000,2.8214e-05
51000000000,3.2972e-05
52000000000,3.3945e-05
53000000000,2.9516e-05
54000000000,2.7542e-05
55000000000,3.9795e-05
56000000000,2.9726e-05
57000000000,6.7708e-05
58000000000,8.8938e-05
59000000000,9.8345e-05
60000000000,3.1259e-05
61000000000,0.00270475
62000000000,0.000107894
63000000000,2.5107e-05
64000000000,0.000346013
65000000000,0.00298184
66000000000,0.00222501
67000000000,0.00175664
68000000000,0.00526873
69000000000,0.0017745
70000000000,0.0015371
71000000000,0.00550585
72000000000,1.7233e-05
73000000000,2.1901e-05
74000000000,1.8044e-05
75000000000,2.4656e-05
76000000000,1.8505e-05
77000000000,2.2573e-05
78000000000,2.4667e-05
79000000000,2.0579e-05
80000000000,2.4406e-05
81000000000,2.0519e-05
82000000000,2.0088e-05
83000000000,2.2112e-05
84000000000,0.000263447
85000000000,3.1239e-05
86000000000,0.00205717
87000000000,0.00486075
88000000000,2.7812e-05
89000000000,0.000955724
90000000000,0.00606482
91000000000,2.6831e-05
92000000000,2.1761e-05
93000000000,2.2052e-05
94000000000,0.00330506
95000000000,2.2944e-05
96000000000,2.8564e-05
97000000000,2.1701e-05
98000000000,2.3164e-05
99000000000,2.3083e-05
100000000000,2.7151e-05
101000000000,2.2112e-05
102000000000,2.4055e-05
103000000000,2.5258e-05
104000000000,2.3695e-05
105000000000,2.7943e-05
106000000000,2.3074e-05
107000000000,2.2393e-05
108000000000,2.3635e-05
109000000000,2.5408e-05
110000000000,2.6029e-05
111000000000,3.2782e-05
112000000000,2.9836e-05
113000000000,3.3514e-05
114000000000,6.6055e-05
115000000000,6.1235e-05
116000000000,0.000657782
117000000000,0.00099596
118000000000,0.00269543
119000000000,2.9235e-05
120000000000,0.00160042
121000000000,0.000912482
122000000000,0.00133278
123000000000,0.00380391
124000000000,0.00886142
125000000000,0.0012972
126000000000,3.8272e-05
127000000000,0.000729317
128000000000,0.00433045
129000000000,3.5276e-05
130000000000,3.4766e-05
131000000000,3.9043e-05
132000000000,0.000243529
