timestamp(ns),elapsed(s)
0,0.00512062
1000000000,0.00638601
2000000000,0.00938669
3000000000,0.00903355
4000000000,0.0134547
5000000000,0.0141601
6000000000,0.0152037
7000000000,0.0176036
8000000000,0.0168737
9000000000,0.0183786
10000000000,0.0196194
11000000000,0.0218282
12000000000,0.0243689
13000000000,0.0197006
14000000000,0.0251684
15000000000,0.0201682
16000000000,0.0244283
17000000000,0.0218062
18000000000,0.0269395
19000000000,0.0354409
20000000000,0.034421
21000000000,0.0318363
22000000000,0.0370821
23000000000,0.034725
24000000000,0.0313905
25000000000,0.031463
26000000000,0.0339233
27000000000,0.0338923
28000000000,0.0377314
29000000000,0.0337056
30000000000,0.0379135
31000000000,0.0384282
32000000000,0.0368574
33000000000,0.0347096
34000000000,0.0349632
35000000000,0.0343582
36000000000,0.03656
37000000000,0.032293
38000000000,0.0372793
39000000000,0.0404812
40000000000,0.0394838
41000000000,0.041198
42000000000,0.0386936
43000000000,0.0416302
44000000000,0.0435744
45000000000,0.0403275
46000000000,0.0391123
47000000000,0.0389807
48000000000,0.0371039
49000000000,0.0433916
50000000000,0.0423518
51000000000,0.0444286
52000000000,0.0398295
53000000000,0.043325
54000000000,0.0426958
55000000000,0.0403303
56000000000,0.0373656
57000000000,0.0412048
58000000000,0.0467823
59000000000,0.0403744
60000000000,0.0441792
61000000000,0.0464064
62000000000,0.047036
63000000000,0.0413189
64000000000,0.0414353
65000000000,0.0453886
66000000000,0.0427097
67000000000,0.0434355
68000000000,0.0425319
69000000000,0.0398382
70000000000,0.0383559
71000000000,0.0353523
72000000000,0.03499
73000000000,0.0395854
74000000000,0.0406862
75000000000,0.0436493
76000000000,0.0382137
77000000000,0.0398795
78000000000,0.0380365
79000000000,0.0388632
80000000000,0.0388665
81000000000,0.0438509
82000000000,0.0386126
83000000000,0.041561
84000000000,0.0410902
85000000000,0.0374928
86000000000,0.0382753
87000000000,0.033979
88000000000,0.0342292
89000000000,0.0333982
90000000000,0.0299132
91000000000,0.0324338
92000000000,0.032633
93000000000,0.0353265
94000000000,0.0331049
95000000000,0.0341971
96000000000,0.0335067
97000000000,0.0345521
98000000000,0.0349751
99000000000,0.0373174
100000000000,0.037622
101000000000,0.0344706
102000000000,0.0366729
103000000000,0.0397861
104000000000,0.0409938
105000000000,0.0399694
106000000000,0.0390973
107000000000,0.0367387
108000000000,0.040574
109000000000,0.0392025
110000000000,0.0417589
111000000000,0.044298
112000000000,0.0445951
113000000000,0.0423331
114000000000,0.0498378
115000000000,0.0429839
116000000000,0.0489374
117000000000,0.0495841
118000000000,0.0543868
119000000000,0.0438443
120000000000,0.0456457
121000000000,0.0510606
122000000000,0.0542172
123000000000,0.0487742
124000000000,0.0469211
125000000000,0.0491545
126000000000,0.0484197
127000000000,0.0506989
128000000000,0.0475173
129000000000,0.0474775
130000000000,0.0512182
131000000000,0.0536927
132000000000,0.0501428
133000000000,0.0478709
134000000000,0.0418607
135000000000,0.0414657
136000000000,0.0362085
137000000000,0.0379682
138000000000,0.0386122
139000000000,0.0381145
140000000000,0.0375821
141000000000,0.0363624
142000000000,0.0366411
143000000000,0.0372598
144000000000,0.0381982
145000000000,0.0389128
146000000000,0.0413866
147000000000,0.0458542
148000000000,0.0475933
149000000000,0.0427787
150000000000,0.0415687
151000000000,0.0380746
152000000000,0.0392909
153000000000,0.0462345
154000000000,0.0434337
155000000000,0.0446843
156000000000,0.0425382
157000000000,0.0422454
158000000000,0.043359
159000000000,0.0428385
160000000000,0.0450669
161000000000,0.0421825
162000000000,0.0399068
163000000000,0.0384702
164000000000,0.0391065
165000000000,0.0406827
166000000000,0.0414535
167000000000,0.0422761
168000000000,0.0460636
169000000000,0.0458173
170000000000,0.0453095
171000000000,0.0449567
172000000000,0.0470396
173000000000,0.0436031
174000000000,0.0408664
175000000000,0.0441515
176000000000,0.0403382
177000000000,0.0381037
178000000000,0.046693
179000000000,0.0412136
180000000000,0.0401813
181000000000,0.0356372
182000000000,0.0362917
183000000000,0.0432147
184000000000,0.0470662
185000000000,0.0456225
186000000000,0.0448298
187000000000,0.0475682
188000000000,0.0430989
189000000000,0.04444
190000000000,0.0441147
191000000000,0.044114
192000000000,0.0424087
193000000000,0.0377521
194000000000,0.039448
195000000000,0.0391039
196000000000,0.0360287
197000000000,0.0357296
198000000000,0.0375607
199000000000,0.0416069
200000000000,0.0431338
201000000000,0.0472148
202000000000,0.047045
203000000000,0.0426315
204000000000,0.0388372
205000000000,0.040893
206000000000,0.041021
207000000000,0.0404763
