timestamp(ns),elapsed(s)
0,0.00128103
1000000000,0.00164773
2000000000,0.00164131
3000000000,0.00263816
4000000000,0.00526612
5000000000,0.00580278
6000000000,0.0093477
7000000000,0.00978901
8000000000,0.0104828
9000000000,0.011082
10000000000,0.012362
11000000000,0.010547
12000000000,0.0119912
13000000000,0.0119379
14000000000,0.0130075
15000000000,0.0144699
16000000000,0.0136237
17000000000,0.0136294
18000000000,0.0139426
19000000000,0.0143636
20000000000,0.0159425
21000000000,0.0172908
22000000000,0.0169726
23000000000,0.0151049
24000000000,0.0163234
25000000000,0.0116543
26000000000,0.0160582
27000000000,0.0153821
28000000000,0.0170766
29000000000,0.0168321
30000000000,0.0152925
31000000000,0.0138368
32000000000,0.0155063
33000000000,0.0163157
34000000000,0.0137621
35000000000,0.015874
36000000000,0.0159355
37000000000,0.0149882
38000000000,0.0158689
39000000000,0.0164948
40000000000,0.0122171
41000000000,0.0158456
42000000000,0.0152858
43000000000,0.014187
44000000000,0.0148828
45000000000,0.0139795
46000000000,0.0140286
47000000000,0.0136006
48000000000,0.0144263
49000000000,0.0157957
50000000000,0.0127127
51000000000,0.0141994
52000000000,0.0143978
53000000000,0.0160017
54000000000,0.0163687
55000000000,0.0165237
56000000000,0.0160446
57000000000,0.0158636
58000000000,0.0121844
59000000000,0.0163903
60000000000,0.0165793
61000000000,0.0187066
62000000000,0.0197458
63000000000,0.0195757
64000000000,0.01552
65000000000,0.0199685
66000000000,0.0190824
67000000000,0.0201912
68000000000,0.0169929
69000000000,0.020379
70000000000,0.0208003
71000000000,0.0197303
72000000000,0.020968
73000000000,0.0210403
74000000000,0.020473
75000000000,0.0221594
76000000000,0.0209812
77000000000,0.0226918
78000000000,0.0216565
79000000000,0.0205165
80000000000,0.019852
81000000000,0.0202862
82000000000,0.0221864
83000000000,0.0227753
84000000000,0.0208011
85000000000,0.0188247
86000000000,0.0223231
87000000000,0.021072
88000000000,0.0181032
89000000000,0.0199302
90000000000,0.0200831
91000000000,0.0195338
92000000000,0.0214962
93000000000,0.0208066
94000000000,0.0211144
95000000000,0.0204803
96000000000,0.0217119
97000000000,0.0211184
98000000000,0.0209436
99000000000,0.0197601
100000000000,0.0215074
101000000000,0.0197174
102000000000,0.021178
103000000000,0.0208885
104000000000,0.0201665
105000000000,0.0214324
106000000000,0.0197182
107000000000,0.0205157
108000000000,0.0172631
109000000000,0.0178439
110000000000,0.0209083
111000000000,0.0219443
112000000000,0.0208959
113000000000,0.0230044
114000000000,0.0226364
115000000000,0.0234035
116000000000,0.022694
117000000000,0.0186993
118000000000,0.019101
119000000000,0.0213188
120000000000,0.0227586
121000000000,0.0230114
122000000000,0.0241599
123000000000,0.0223281
124000000000,0.0218884
125000000000,0.0225055
126000000000,0.0218341
127000000000,0.0216726
128000000000,0.0214626
129000000000,0.0230222
130000000000,0.0226956
131000000000,0.0229165
132000000000,0.0214908
133000000000,0.0231213
134000000000,0.0156228
135000000000,0.0192997
136000000000,0.0172655
137000000000,0.0153572
138000000000,0.012479
139000000000,0.0153198
140000000000,0.0145325
141000000000,0.0167913
142000000000,0.0145199
143000000000,0.016742
144000000000,0.015936
145000000000,0.016622
146000000000,0.0154263
147000000000,0.0171746
148000000000,0.016441
149000000000,0.016463
150000000000,0.015734
151000000000,0.0125998
152000000000,0.0134624
153000000000,0.0161275
154000000000,0.01636
155000000000,0.0124507
156000000000,0.0137221
157000000000,0.0154772
158000000000,0.0144544
159000000000,0.013071
160000000000,0.0110202
161000000000,0.0122978
162000000000,0.0141832
163000000000,0.0136243
164000000000,0.0146563
165000000000,0.0130534
166000000000,0.011638
167000000000,0.0134472
168000000000,0.0155616
169000000000,0.0139273
170000000000,0.0159805
171000000000,0.0168696
172000000000,0.0163556
173000000000,0.0158793
174000000000,0.0172585
175000000000,0.0167688
176000000000,0.013148
177000000000,0.0160684
178000000000,0.0171724
