timestamp(ns),elapsed(s)
0,1.062e-06
1000000000,8.42e-07
2000000000,5.51e-07
3000000000,7.71e-07
4000000000,8.62e-07
5000000000,6.11e-07
6000000000,6.71e-07
7000000000,6.31e-07
8000000000,6.41e-07
9000000000,4.91e-07
10000000000,5.41e-07
11000000000,6.21e-07
12000000000,6.22e-07
13000000000,5.91e-07
14000000000,6.41e-07
15000000000,6.81e-07
16000000000,7.71e-07
17000000000,6.11e-07
18000000000,6.81e-07
19000000000,7.21e-07
20000000000,7.81e-07
21000000000,1.152e-06
22000000000,8.32e-07
23000000000,9.21e-07
24000000000,6.71e-07
25000000000,6.61e-07
26000000000,7.72e-07
27000000000,6.11e-07
28000000000,1.183e-06
29000000000,8.62e-07
30000000000,7.31e-07
31000000000,1.252e-06
32000000000,8.92e-07
33000000000,6.11e-07
34000000000,7.81e-07
35000000000,1.262e-06
36000000000,5.51e-07
37000000000,6.42e-07
38000000000,1.262e-06
39000000000,8.62e-07
40000000000,1.312e-06
41000000000,1.302e-06
42000000000,5.01e-07
43000000000,6.62e-07
44000000000,1.322e-06
45000000000,1.002e-06
46000000000,6.31e-07
47000000000,7.11e-07
48000000000,5.51e-07
49000000000,6.81e-07
50000000000,1.473e-06
51000000000,8.32e-07
52000000000,1.473e-06
53000000000,1.202e-06
54000000000,1.522e-06
55000000000,1.132e-06
56000000000,1.262e-06
57000000000,1.242e-06
58000000000,1.322e-06
59000000000,1.422e-06
60000000000,1.593e-06
61000000000,1.763e-06
62000000000,1.553e-06
63000000000,1.773e-06
64000000000,1.192e-06
65000000000,1.382e-06
66000000000,1.543e-06
67000000000,1.553e-06
68000000000,1.462e-06
69000000000,1.633e-06
70000000000,1.693e-06
71000000000,9.62e-07
72000000000,1.523e-06
73000000000,7.31e-07
74000000000,1.483e-06
75000000000,1.443e-06
76000000000,1.463e-06
77000000000,1.653e-06
78000000000,1.854e-06
79000000000,1.283e-06
80000000000,1.282e-06
81000000000,6.72e-07
82000000000,1.432e-06
83000000000,9.72e-07
84000000000,1.624e-06
85000000000,1.483e-06
86000000000,1.733e-06
87000000000,8.31e-07
88000000000,1.203e-06
89000000000,9.71e-07
90000000000,1.253e-06
91000000000,1.322e-06
92000000000,1.252e-06
93000000000,1.483e-06
94000000000,1.493e-06
95000000000,1.362e-06
96000000000,8.81e-07
97000000000,6.81e-07
98000000000,7.81e-07
99000000000,6.41e-07
100000000000,1.593e-06
101000000000,1.753e-06
102000000000,1.313e-06
103000000000,1.333e-06
104000000000,1.423e-06
105000000000,1.513e-06
106000000000,1.272e-06
107000000000,1.744e-06
108000000000,1.493e-06
109000000000,1.523e-06
110000000000,1.834e-06
111000000000,1.453e-06
112000000000,8.72e-07
113000000000,8.51e-07
114000000000,1.573e-06
115000000000,1.273e-06
116000000000,1.443e-06
117000000000,1.623e-06
118000000000,1.162e-06
119000000000,1.402e-06
120000000000,1.643e-06
121000000000,1.363e-06
122000000000,1.373e-06
123000000000,1.373e-06
124000000000,1.583e-06
125000000000,1.423e-06
126000000000,1.593e-06
127000000000,1.453e-06
128000000000,1.502e-06
129000000000,1.333e-06
130000000000,1.654e-06
131000000000,1.442e-06
132000000000,1.132e-06
133000000000,7.41e-07
134000000000,8.72e-07
135000000000,1.302e-06
136000000000,1.443e-06
137000000000,1.362e-06
138000000000,1.573e-06
139000000000,1.443e-06
140000000000,1.202e-06
141000000000,1.472e-06
142000000000,1.543e-06
143000000000,6.81e-07
144000000000,1.002e-06
145000000000,6.31e-07
146000000000,1.513e-06
147000000000,1.292e-06
148000000000,1.923e-06
149000000000,1.653e-06
150000000000,7.42e-07
151000000000,1.323e-06
152000000000,1.954e-06
153000000000,1.463e-06
154000000000,1.553e-06
155000000000,1.332e-06
156000000000,1.673e-06
157000000000,7.02e-07
158000000000,9.52e-07
159000000000,1.743e-06
160000000000,1.353e-06
161000000000,1.703e-06
162000000000,1.563e-06
163000000000,6.41e-07
164000000000,1.192e-06
165000000000,1.363e-06
166000000000,9.12e-07
167000000000,1.473e-06
168000000000,1.452e-06
169000000000,1.293e-06
170000000000,1.493e-06
171000000000,9.42e-07
172000000000,1.473e-06
173000000000,8.62e-07
174000000000,8.01e-07
175000000000,6.71e-07
176000000000,1.523e-06
177000000000,1.553e-06
178000000000,1.563e-06
179000000000,1.613e-06
180000000000,1.583e-06
181000000000,1.563e-06
182000000000,6.71e-07
183000000000,9.42e-07
184000000000,1.674e-06
185000000000,1.283e-06
186000000000,1.223e-06
187000000000,1.573e-06
188000000000,1.613e-06
189000000000,1.543e-06
190000000000,1.623e-06
191000000000,1.492e-06
192000000000,1.163e-06
193000000000,2.124e-06
194000000000,9.02e-07
195000000000,1.964e-06
196000000000,1.684e-06
197000000000,8.42e-07
198000000000,1.423e-06
199000000000,2.004e-06
200000000000,1.553e-06
201000000000,1.613e-06
202000000000,1.523e-06
203000000000,1.163e-06
