timestamp(ns),elapsed(s)
0,0.00722611
1000000000,0.00886856
2000000000,0.0131495
3000000000,0.0130648
4000000000,0.0207883
5000000000,0.0221103
6000000000,0.0265474
7000000000,0.029749
8000000000,0.0299938
9000000000,0.0322835
10000000000,0.0347083
11000000000,0.0357271
12000000000,0.03946
13000000000,0.0348742
14000000000,0.0416744
15000000000,0.0381642
16000000000,0.0415524
17000000000,0.0391067
18000000000,0.044901
19000000000,0.0539925
20000000000,0.0547797
21000000000,0.0548215
22000000000,0.0587707
23000000000,0.0545419
24000000000,0.052447
25000000000,0.0513636
26000000000,0.0553228
27000000000,0.0552817
28000000000,0.061242
29000000000,0.0562336
30000000000,0.05878
31000000000,0.060652
32000000000,0.0579934
33000000000,0.0570159
34000000000,0.0550773
35000000000,0.0566685
36000000000,0.059272
37000000000,0.0538994
38000000000,0.0597937
39000000000,0.0626348
40000000000,0.0612853
41000000000,0.0635032
42000000000,0.0597704
43000000000,0.0598307
44000000000,0.0659244
45000000000,0.0601845
46000000000,0.0620892
47000000000,0.0585024
48000000000,0.0582136
49000000000,0.0656509
50000000000,0.0655565
51000000000,0.0657474
52000000000,0.0629727
53000000000,0.0663838
54000000000,0.0647824
55000000000,0.0646287
56000000000,0.0609389
57000000000,0.0647457
58000000000,0.0693273
59000000000,0.064833
60000000000,0.0698262
61000000000,0.0751458
62000000000,0.0749422
63000000000,0.0693748
64000000000,0.0682567
65000000000,0.0748477
66000000000,0.0724825
67000000000,0.0744288
68000000000,0.0702727
69000000000,0.0699191
70000000000,0.0688092
71000000000,0.0668541
72000000000,0.0637574
73000000000,0.0681377
74000000000,0.0699634
75000000000,0.0744652
76000000000,0.0677642
77000000000,0.0711333
78000000000,0.0684539
79000000000,0.0680834
80000000000,0.0677411
81000000000,0.072378
82000000000,0.0699458
83000000000,0.0733823
84000000000,0.0720455
85000000000,0.0654051
86000000000,0.0694573
87000000000,0.0657794
88000000000,0.0604521
89000000000,0.0640183
90000000000,0.0640824
91000000000,0.059829
92000000000,0.0625228
93000000000,0.0647372
94000000000,0.0656574
95000000000,0.0624437
96000000000,0.0624684
97000000000,0.0630548
98000000000,0.06329
99000000000,0.0646661
100000000000,0.0676104
101000000000,0.0625466
102000000000,0.0661128
103000000000,0.0693781
104000000000,0.0698293
105000000000,0.0699095
106000000000,0.0675206
107000000000,0.0660744
108000000000,0.0666925
109000000000,0.0662094
110000000000,0.0719383
111000000000,0.0760343
112000000000,0.0748944
113000000000,0.0743849
114000000000,0.082604
115000000000,0.0765262
116000000000,0.0830956
117000000000,0.0811169
118000000000,0.0865556
119000000000,0.0760826
120000000000,0.0809758
121000000000,0.0837817
122000000000,0.0923093
123000000000,0.0864871
124000000000,0.0895065
125000000000,0.0844283
126000000000,0.0821253
127000000000,0.0860884
128000000000,0.0849187
129000000000,0.0821329
130000000000,0.0860417
131000000000,0.0890562
132000000000,0.0843725
133000000000,0.0822631
134000000000,0.0790437
135000000000,0.0777473
136000000000,0.0755128
137000000000,0.0653256
138000000000,0.0640816
139000000000,0.0672101
140000000000,0.0616699
141000000000,0.06747
142000000000,0.0636167
143000000000,0.0633604
144000000000,0.0655685
145000000000,0.0660847
146000000000,0.0686568
147000000000,0.0728239
148000000000,0.074374
149000000000,0.0699976
150000000000,0.0696392
151000000000,0.0655491
152000000000,0.0665823
153000000000,0.0733278
154000000000,0.0706929
155000000000,0.070519
156000000000,0.0731532
157000000000,0.0711773
158000000000,0.0733491
159000000000,0.0729508
160000000000,0.0738751
161000000000,0.0694943
162000000000,0.0693584
163000000000,0.0655084
164000000000,0.0682828
165000000000,0.0755305
166000000000,0.0736691
167000000000,0.0704974
168000000000,0.0713943
169000000000,0.076281
170000000000,0.0743247
171000000000,0.0716736
172000000000,0.0751308
173000000000,0.069762
174000000000,0.0679681
175000000000,0.0718164
176000000000,0.0700444
177000000000,0.0709274
178000000000,0.0775057
179000000000,0.0733619
180000000000,0.0691079
181000000000,0.0693282
182000000000,0.057063
183000000000,0.0713012
184000000000,0.0780523
185000000000,0.0746459
186000000000,0.0722856
187000000000,0.0757405
188000000000,0.0740399
189000000000,0.0747053
190000000000,0.0739394
191000000000,0.0769638
192000000000,0.0739029
193000000000,0.0732332
194000000000,0.0658729
195000000000,0.0715624
196000000000,0.0723177
197000000000,0.063845
198000000000,0.0678129
199000000000,0.0724324
200000000000,0.073396
201000000000,0.0774138
202000000000,0.0781215
203000000000,0.0698116
204000000000,0.067334
205000000000,0.0725722
206000000000,0.0706846
207000000000,0.0692591
208000000000,0.067542
209000000000,0.070546
210000000000,0.0753167
211000000000,0.0700506
212000000000,0.0682618
213000000000,0.0724558
214000000000,0.0752589
215000000000,0.074425
216000000000,0.0755108
217000000000,0.0762358
218000000000,0.0768603
219000000000,0.079177
220000000000,0.0754588
221000000000,0.0790168
222000000000,0.0753397
223000000000,0.0810351
224000000000,0.0762071
225000000000,0.0723734
226000000000,0.0758815
227000000000,0.077067
228000000000,0.0731038
229000000000,0.075991
230000000000,0.0765428
231000000000,0.0747553
232000000000,0.079101
233000000000,0.0812159
234000000000,0.0801817
235000000000,0.0823478
236000000000,0.079751
237000000000,0.0790536
238000000000,0.0765634
239000000000,0.0738923
240000000000,0.0733586
241000000000,0.0766131
242000000000,0.0739741
243000000000,0.0787634
244000000000,0.0677125
245000000000,0.0799579
246000000000,0.0824196
247000000000,0.082201
248000000000,0.0758049
249000000000,0.0765923
250000000000,0.0730018
251000000000,0.0815735
252000000000,0.0841062
253000000000,0.0794397
254000000000,0.082959
255000000000,0.0755773
256000000000,0.077258
257000000000,0.0721387
258000000000,0.0757692
259000000000,0.0697498
260000000000,0.0721486
261000000000,0.0805057
262000000000,0.0821478
263000000000,0.0799564
264000000000,0.0799999
265000000000,0.0815229
266000000000,0.0776874
267000000000,0.0790917
268000000000,0.080331
269000000000,0.0793213
270000000000,0.080321
271000000000,0.0808049
272000000000,0.0795531
273000000000,0.077452
274000000000,0.0713243
275000000000,0.0789475
276000000000,0.0715254
277000000000,0.077421
278000000000,0.0756026
279000000000,0.0789526
280000000000,0.0815633
281000000000,0.0834555
282000000000,0.0787897
283000000000,0.0790065
284000000000,0.0844206
285000000000,0.085104
286000000000,0.0825101
287000000000,0.0857269
288000000000,0.0810843
289000000000,0.0888728
290000000000,0.0878841
291000000000,0.0879839
292000000000,0.0831169
293000000000,0.0823781
294000000000,0.0816465
295000000000,0.081619
296000000000,0.0759778
297000000000,0.083879
298000000000,0.0798039
299000000000,0.0736535
300000000000,0.0725032
301000000000,0.0715016
302000000000,0.0644173
303000000000,0.0653208
304000000000,0.0659061
305000000000,0.0654085
306000000000,0.0664013
307000000000,0.0689552
308000000000,0.0696799
309000000000,0.0653523
310000000000,0.0694326
311000000000,0.0712502
312000000000,0.0715376
313000000000,0.0731561
314000000000,0.0742758
315000000000,0.0741703
316000000000,0.0730126
317000000000,0.0744235
318000000000,0.0637214
319000000000,0.0571558
320000000000,0.0604174
321000000000,0.0617295
322000000000,0.0629891
323000000000,0.0626812
324000000000,0.0650634
325000000000,0.0586978
326000000000,0.0600702
327000000000,0.058752
328000000000,0.062848
329000000000,0.0608455
330000000000,0.0630578
331000000000,0.0600868
332000000000,0.0678354
333000000000,0.0653188
334000000000,0.0632239
335000000000,0.0648647
336000000000,0.0601893
337000000000,0.0584553
338000000000,0.0544158
339000000000,0.0579437
340000000000,0.0578523
341000000000,0.0567967
342000000000,0.0570273
343000000000,0.0575777
344000000000,0.0571954
345000000000,0.0575098
346000000000,0.0585862
347000000000,0.067324
348000000000,0.0652821
349000000000,0.0638212
350000000000,0.0629189
351000000000,0.0631324
352000000000,0.0571831
353000000000,0.0632179
354000000000,0.0622487
355000000000,0.0592012
356000000000,0.0552019
357000000000,0.0606244
358000000000,0.0578722
359000000000,0.0581807
360000000000,0.0572836
361000000000,0.0586668
362000000000,0.0640594
363000000000,0.0639836
364000000000,0.0633121
365000000000,0.0601527
366000000000,0.0620354
367000000000,0.0580941
368000000000,0.0649366
369000000000,0.0592282
370000000000,0.0602836
371000000000,0.0618845
372000000000,0.0666553
373000000000,0.0684679
374000000000,0.0721032
375000000000,0.070909
376000000000,0.0660025
377000000000,0.0673219
378000000000,0.0675366
379000000000,0.0693139
380000000000,0.0691583
381000000000,0.0662285
382000000000,0.0669319
383000000000,0.0742054
384000000000,0.0625852
385000000000,0.0621323
386000000000,0.0635442
387000000000,0.0638548
388000000000,0.0658588
389000000000,0.0630305
390000000000,0.0622438
391000000000,0.0678257
392000000000,0.0703121
393000000000,0.0648513
394000000000,0.0648664
395000000000,0.0632007
396000000000,0.0664582
397000000000,0.065833
398000000000,0.0689664
399000000000,0.0700869
400000000000,0.066106
401000000000,0.0656475
402000000000,0.0683365
403000000000,0.067623
404000000000,0.0697208
405000000000,0.0692348
406000000000,0.0692997
407000000000,0.0725692
408000000000,0.0748035
409000000000,0.072782
410000000000,0.0712631
411000000000,0.0718388
412000000000,0.0742825
413000000000,0.0651247
414000000000,0.0678927
415000000000,0.0702625
416000000000,0.069681
417000000000,0.0763672
418000000000,0.0833952
419000000000,0.0837699
420000000000,0.0854207
421000000000,0.0802551
422000000000,0.0773843
423000000000,0.0821151
424000000000,0.0844132
425000000000,0.0803106
426000000000,0.0844394
427000000000,0.0854973
428000000000,0.0879718
429000000000,0.0918196
430000000000,0.085853
431000000000,0.091955
432000000000,0.0907358
433000000000,0.0792884
434000000000,0.0823753
435000000000,0.0785307
436000000000,0.0790158
437000000000,0.0805283
438000000000,0.0784383
439000000000,0.0820936
440000000000,0.0763946
441000000000,0.0761753
442000000000,0.0758159
443000000000,0.0744714
444000000000,0.0822711
445000000000,0.0768328
446000000000,0.0855998
447000000000,0.0787595
448000000000,0.0763534
449000000000,0.0814903
450000000000,0.0781647
451000000000,0.0822766
452000000000,0.0837196
453000000000,0.08831
454000000000,0.0840037
455000000000,0.0814421
456000000000,0.0744732
457000000000,0.0838635
458000000000,0.0847827
459000000000,0.0880162
460000000000,0.0819848
461000000000,0.0771091
462000000000,0.0763994
463000000000,0.0707328
464000000000,0.0712523
465000000000,0.076401
466000000000,0.0806061
467000000000,0.076183
468000000000,0.0775407
469000000000,0.076255
470000000000,0.0789588
471000000000,0.0760197
472000000000,0.0757011
473000000000,0.0751236
474000000000,0.0657507
475000000000,0.0676291
476000000000,0.0696585
477000000000,0.0713755
478000000000,0.072928
479000000000,0.0722254
480000000000,0.0708911
481000000000,0.0736008
482000000000,0.0765705
483000000000,0.0734661
484000000000,0.0732462
485000000000,0.0735184
486000000000,0.0751819
487000000000,0.068887
488000000000,0.0738808
489000000000,0.0761721
490000000000,0.0780011
491000000000,0.077079
492000000000,0.0773674
493000000000,0.0801931
494000000000,0.0848989
495000000000,0.0833325
496000000000,0.0793961
497000000000,0.0803307
498000000000,0.0772585
499000000000,0.0774162
500000000000,0.0709518
501000000000,0.0735273
502000000000,0.0694717
503000000000,0.070691
504000000000,0.07153
505000000000,0.0605609
506000000000,0.0592136
507000000000,0.0630755
508000000000,0.056905
509000000000,0.0492727
510000000000,0.0491639
511000000000,0.0538911
512000000000,0.0456432
513000000000,0.0505922
514000000000,0.0524574
515000000000,0.0498847
516000000000,0.0537901
517000000000,0.053419
518000000000,0.050757
519000000000,0.0539349
520000000000,0.0520655
521000000000,0.0555788
522000000000,0.0570279
523000000000,0.0618886
524000000000,0.0605639
525000000000,0.057251
526000000000,0.0568661
527000000000,0.0512389
528000000000,0.0532735
529000000000,0.0560665
530000000000,0.0517054
531000000000,0.0522823
532000000000,0.0590344
533000000000,0.0607354
534000000000,0.060518
535000000000,0.061147
536000000000,0.061171
537000000000,0.0601821
538000000000,0.0573187
539000000000,0.059345
540000000000,0.0591982
541000000000,0.061638
542000000000,0.0619308
543000000000,0.0644909
544000000000,0.0628852
545000000000,0.0655919
546000000000,0.0673524
547000000000,0.0669476
548000000000,0.0646666
549000000000,0.0611108
550000000000,0.0688249
551000000000,0.0584576
552000000000,0.0653602
553000000000,0.067721
554000000000,0.0609016
555000000000,0.0688837
556000000000,0.070262
557000000000,0.0680853
558000000000,0.067571
559000000000,0.0640387
560000000000,0.0648788
561000000000,0.061761
562000000000,0.0621439
563000000000,0.0626634
564000000000,0.0605747
565000000000,0.0650286
566000000000,0.069745
567000000000,0.0699195
568000000000,0.0706402
569000000000,0.0692065
570000000000,0.0760411
571000000000,0.074493
572000000000,0.079845
573000000000,0.0867965
574000000000,0.0861535
575000000000,0.0866658
576000000000,0.0887498
577000000000,0.0853306
578000000000,0.0879248
579000000000,0.0862308
580000000000,0.0819853
581000000000,0.0777255
582000000000,0.0754217
583000000000,0.0797124
584000000000,0.0774552
585000000000,0.0801941
586000000000,0.0871589
587000000000,0.0899377
588000000000,0.0874307
589000000000,0.0822627
590000000000,0.0917291
591000000000,0.0864139
592000000000,0.0847615
593000000000,0.086197
594000000000,0.0813747
595000000000,0.0951166
596000000000,0.0784444
597000000000,0.0861617
598000000000,0.0898601
599000000000,0.0889624
600000000000,0.0890931
601000000000,0.0958117
602000000000,0.0957837
603000000000,0.0939917
604000000000,0.0972658
605000000000,0.0939799
606000000000,0.10024
607000000000,0.0948465
608000000000,0.100004
609000000000,0.0955293
610000000000,0.0988877
611000000000,0.0930785
612000000000,0.093062
613000000000,0.088294
614000000000,0.0913221
615000000000,0.0987117
616000000000,0.103843
617000000000,0.100132
618000000000,0.100498
619000000000,0.0981595
620000000000,0.0942268
621000000000,0.0965815
622000000000,0.0989726
623000000000,0.102249
624000000000,0.105049
625000000000,0.107154
626000000000,0.104033
627000000000,0.105639
628000000000,0.106932
629000000000,0.103149
630000000000,0.0986309
631000000000,0.105122
