timestamp(ns),elapsed(s)
0,9.127e-06
1000000000,5.2489e-05
2000000000,4.5927e-05
3000000000,4.2921e-05
4000000000,5.7829e-05
5000000000,4.9884e-05
6000000000,5.6206e-05
7000000000,3.9264e-05
8000000000,0.000115087
9000000000,3.6439e-05
10000000000,4.4855e-05
11000000000,6.4111e-05
12000000000,4.9984e-05
13000000000,8.2085e-05
14000000000,7.5973e-05
15000000000,4.1859e-05
16000000000,7.3819e-05
17000000000,5.7158e-05
18000000000,0.000157988
19000000000,7.1986e-05
20000000000,4.2029e-05
21000000000,5.0646e-05
22000000000,0.000123053
23000000000,6.5354e-05
24000000000,5.1588e-05
25000000000,4.772e-05
26000000000,4.9915e-05
27000000000,5.6146e-05
28000000000,5.1747e-05
29000000000,4.9583e-05
30000000000,9.4338e-05
31000000000,5.4172e-05
32000000000,5.1537e-05
33000000000,8.5502e-05
34000000000,5.4563e-05
35000000000,4.1809e-05
36000000000,5.7309e-05
37000000000,9.1573e-05
38000000000,4.0737e-05
39000000000,5.0635e-05
40000000000,4.4754e-05
41000000000,6.901e-05
42000000000,6.7527e-05
43000000000,5.299e-05
44000000000,0.000306489
45000000000,0.000100741
46000000000,6.0063e-05
47000000000,5.0576e-05
48000000000,5.0986e-05
49000000000,4.5416e-05
50000000000,7.8067e-05
51000000000,0.000130226
52000000000,6.6004e-05
53000000000,5.1227e-05
54000000000,5.5124e-05
55000000000,3.8613e-05
56000000000,4.5646e-05
57000000000,5.0405e-05
58000000000,7.5593e-05
59000000000,5.4402e-05
60000000000,4.8812e-05
61000000000,4.5576e-05
62000000000,5.0606e-05
63000000000,4.9263e-05
64000000000,4.3041e-05
65000000000,4.8131e-05
66000000000,4.273e-05
67000000000,5.283e-05
68000000000,5.2599e-05
69000000000,5.7498e-05
70000000000,4.7049e-05
71000000000,6.5474e-05
72000000000,4.1058e-05
73000000000,4.6528e-05
74000000000,5.1286e-05
75000000000,6.343e-05
76000000000,4.3442e-05
77000000000,0.000103836
78000000000,6.6014e-05
79000000000,5.4403e-05
80000000000,5.0184e-05
81000000000,4.8572e-05
82000000000,9.6783e-05
83000000000,5.6086e-05
84000000000,8.8197e-05
85000000000,0.000176403
86000000000,5.7188e-05
87000000000,0.000124225
88000000000,5.4824e-05
89000000000,5.7258e-05
90000000000,5.9913e-05
91000000000,5.6306e-05
92000000000,7.8809e-05
93000000000,7.5993e-05
94000000000,5.5094e-05
95000000000,4.2099e-05
96000000000,6.1536e-05
97000000000,0.000129004
98000000000,5.1808e-05
99000000000,5.8811e-05
100000000000,0.000271332
101000000000,4.8772e-05
102000000000,5.5905e-05
103000000000,5.5815e-05
104000000000,0.000215717
105000000000,5.6957e-05
106000000000,5.7208e-05
107000000000,7.0132e-05
108000000000,4.7119e-05
109000000000,4.773e-05
110000000000,4.8572e-05
111000000000,5.6917e-05
112000000000,0.000101562
113000000000,5.5054e-05
114000000000,6.6596e-05
115000000000,5.1467e-05
116000000000,5.812e-05
117000000000,5.331e-05
118000000000,5.0776e-05
119000000000,4.9584e-05
120000000000,4.9173e-05
121000000000,7.0373e-05
122000000000,5.6036e-05
123000000000,5.285e-05
124000000000,7.0433e-05
125000000000,4.9774e-05
126000000000,5.6627e-05
127000000000,4.9253e-05
128000000000,6.0845e-05
129000000000,5.325e-05
130000000000,5.304e-05
131000000000,6.5884e-05
132000000000,5.5645e-05
133000000000,5.4052e-05
134000000000,8.0712e-05
135000000000,6.4932e-05
136000000000,9.3025e-05
137000000000,6.361e-05
138000000000,5.6567e-05
139000000000,5.6256e-05
140000000000,5.6216e-05
141000000000,6.2007e-05
142000000000,6.7027e-05
143000000000,6.4211e-05
144000000000,5.798e-05
145000000000,4.9664e-05
146000000000,6.7537e-05
147000000000,5.2108e-05
148000000000,5.289e-05
149000000000,5.8541e-05
150000000000,8.7736e-05
151000000000,6.2277e-05
152000000000,7.6304e-05
153000000000,5.9843e-05
154000000000,6.355e-05
155000000000,6.1907e-05
156000000000,4.7259e-05
157000000000,5.1737e-05
158000000000,5.6236e-05
159000000000,4.6708e-05
160000000000,5.1727e-05
161000000000,5.5896e-05
162000000000,5.5324e-05
163000000000,0.000327237
164000000000,5.4152e-05
165000000000,5.4974e-05
166000000000,7.1074e-05
167000000000,5.1988e-05
168000000000,5.3782e-05
169000000000,4.6628e-05
170000000000,6.2749e-05
171000000000,0.000343609
172000000000,9.6653e-05
173000000000,8.3147e-05
174000000000,6.2548e-05
175000000000,5.6046e-05
176000000000,7.1605e-05
177000000000,6.2508e-05
178000000000,5.807e-05
179000000000,5.0035e-05
180000000000,6.8079e-05
181000000000,9.506e-05
182000000000,6.1827e-05
183000000000,4.9073e-05
184000000000,5.1377e-05
185000000000,5.4453e-05
186000000000,5.9472e-05
187000000000,5.8601e-05
188000000000,5.7288e-05
189000000000,4.7159e-05
190000000000,5.7308e-05
191000000000,5.1897e-05
192000000000,8.2366e-05
193000000000,0.000327418
194000000000,8.5651e-05
195000000000,5.7088e-05
196000000000,0.000104858
197000000000,5.307e-05
198000000000,5.0516e-05
199000000000,0.000165533
200000000000,5.7077e-05
201000000000,0.00022228
202000000000,4.8331e-05
203000000000,0.000114156
204000000000,7.2327e-05
205000000000,5.9231e-05
206000000000,5.9572e-05
207000000000,5.2609e-05
208000000000,5.7208e-05
209000000000,4.5486e-05
210000000000,5.5935e-05
211000000000,5.9252e-05
212000000000,7.4911e-05
213000000000,6.4982e-05
214000000000,6.1997e-05
215000000000,5.4352e-05
216000000000,5.9853e-05
217000000000,0.000209175
218000000000,5.298e-05
219000000000,8.5471e-05
220000000000,9.6522e-05
221000000000,5.7669e-05
222000000000,5.4954e-05
223000000000,8.1965e-05
224000000000,0.000219063
225000000000,0.000111611
226000000000,5.4573e-05
227000000000,6.9401e-05
228000000000,9.019e-05
229000000000,6.7587e-05
230000000000,6.4131e-05
231000000000,5.322e-05
232000000000,4.9143e-05
233000000000,5.1968e-05
234000000000,5.294e-05
235000000000,5.6988e-05
236000000000,5.4373e-05
237000000000,6.0013e-05
238000000000,0.000101472
239000000000,6.6495e-05
240000000000,5.0966e-05
241000000000,5.3401e-05
242000000000,6.1626e-05
243000000000,6.6425e-05
244000000000,6.4482e-05
245000000000,0.000154602
246000000000,9.2113e-05
247000000000,5.5925e-05
248000000000,5.0606e-05
249000000000,5.4753e-05
250000000000,4.9564e-05
251000000000,5.3521e-05
252000000000,5.3802e-05
253000000000,5.82e-05
254000000000,8.7675e-05
255000000000,5.6887e-05
256000000000,6.0154e-05
257000000000,4.8712e-05
258000000000,5.6727e-05
259000000000,5.2109e-05
260000000000,5.6016e-05
261000000000,5.4673e-05
262000000000,6.1567e-05
263000000000,5.5915e-05
264000000000,8.2355e-05
265000000000,5.273e-05
266000000000,5.0154e-05
267000000000,6.7838e-05
268000000000,5.3772e-05
269000000000,5.5645e-05
270000000000,5.8411e-05
271000000000,4.777e-05
272000000000,7.3388e-05
273000000000,6.2738e-05
274000000000,0.000126188
275000000000,7.0302e-05
276000000000,8.464e-05
277000000000,7.1104e-05
278000000000,6.2748e-05
279000000000,5.5805e-05
280000000000,6.7758e-05
281000000000,4.6207e-05
282000000000,6.7417e-05
283000000000,5.6246e-05
284000000000,8.1474e-05
285000000000,5.6757e-05
286000000000,7.6995e-05
287000000000,5.5765e-05
288000000000,7.0774e-05
289000000000,9.1874e-05
290000000000,4.0746e-05
291000000000,6.2749e-05
292000000000,6.4311e-05
293000000000,5.7689e-05
294000000000,0.000176212
295000000000,0.000102013
296000000000,7.1175e-05
297000000000,9.8105e-05
298000000000,7.4951e-05
299000000000,8.998e-05
300000000000,0.000139974
301000000000,6.0344e-05
302000000000,6.2739e-05
303000000000,3.5386e-05
304000000000,0.000277524
305000000000,8.3678e-05
306000000000,6.9731e-05
307000000000,6.4862e-05
308000000000,0.000106852
309000000000,8.1924e-05
310000000000,7.2046e-05
311000000000,6.2899e-05
312000000000,5.9262e-05
313000000000,6.0364e-05
314000000000,6.2648e-05
315000000000,7.425e-05
316000000000,9.1102e-05
317000000000,6.0014e-05
318000000000,6.3921e-05
319000000000,5.7268e-05
320000000000,5.9522e-05
321000000000,6.9451e-05
322000000000,0.000105359
323000000000,5.1437e-05
324000000000,5.7038e-05
325000000000,6.2077e-05
326000000000,7.5843e-05
327000000000,6.6325e-05
328000000000,5.4954e-05
329000000000,8.4109e-05
330000000000,5.4713e-05
331000000000,0.000144062
332000000000,5.6366e-05
333000000000,0.000322859
334000000000,7.0944e-05
335000000000,7.4501e-05
336000000000,0.000108695
337000000000,0.000117983
338000000000,7.1264e-05
339000000000,5.1037e-05
340000000000,9.7734e-05
341000000000,8.2736e-05
342000000000,6.0083e-05
343000000000,0.000156775
344000000000,3.8312e-05
345000000000,6.867e-05
346000000000,0.000139684
347000000000,6.7447e-05
348000000000,7.1966e-05
349000000000,5.5424e-05
350000000000,7.0353e-05
351000000000,6.6295e-05
352000000000,5.1657e-05
353000000000,0.000131959
354000000000,0.000149522
355000000000,9.566e-05
356000000000,5.0535e-05
357000000000,6.6134e-05
358000000000,6.9612e-05
359000000000,5.5995e-05
360000000000,0.000397731
361000000000,6.9742e-05
362000000000,6.5454e-05
363000000000,7.6985e-05
364000000000,6.2467e-05
365000000000,6.873e-05
366000000000,6.5194e-05
367000000000,6.1807e-05
368000000000,6.7388e-05
369000000000,5.298e-05
370000000000,4.3251e-05
371000000000,5.848e-05
372000000000,5.1056e-05
373000000000,5.5295e-05
374000000000,0.000123674
375000000000,5.7568e-05
376000000000,9.6231e-05
377000000000,6.5584e-05
378000000000,6.0193e-05
379000000000,6.7096e-05
380000000000,9.4318e-05
381000000000,0.000112763
382000000000,5.4463e-05
383000000000,8.6473e-05
384000000000,6.2127e-05
385000000000,6.4431e-05
386000000000,7.3699e-05
387000000000,5.7568e-05
388000000000,7.1155e-05
389000000000,7.2927e-05
390000000000,8.8176e-05
391000000000,9.7073e-05
392000000000,9.9608e-05
393000000000,6.3149e-05
394000000000,5.1247e-05
395000000000,4.8081e-05
396000000000,6.6145e-05
397000000000,5.5935e-05
398000000000,7.3669e-05
399000000000,8.8107e-05
400000000000,8.0152e-05
401000000000,5.0466e-05
402000000000,5.4993e-05
403000000000,7.8288e-05
404000000000,6.7848e-05
405000000000,7.6645e-05
406000000000,7.5071e-05
407000000000,8.8267e-05
408000000000,4.4013e-05
409000000000,8.7525e-05
410000000000,7.5563e-05
411000000000,8.2486e-05
412000000000,0.000134974
413000000000,5.7018e-05
414000000000,6.2007e-05
415000000000,6.9311e-05
416000000000,4.3482e-05
417000000000,5.7318e-05
418000000000,6.5854e-05
419000000000,9.8626e-05
420000000000,6.354e-05
421000000000,6.2037e-05
422000000000,9.0531e-05
423000000000,5.6386e-05
424000000000,0.000294044
425000000000,9.0871e-05
426000000000,0.000440541
427000000000,5.28e-05
428000000000,8.9168e-05
429000000000,6.919e-05
430000000000,6.0915e-05
431000000000,8.3207e-05
432000000000,7.8137e-05
433000000000,7.0122e-05
434000000000,7.6905e-05
435000000000,7.7787e-05
436000000000,0.000176924
437000000000,6.6565e-05
438000000000,5.5925e-05
439000000000,6.377e-05
440000000000,6.5924e-05
441000000000,6.8409e-05
442000000000,7.0894e-05
443000000000,6.886e-05
444000000000,0.000635849
445000000000,7.0853e-05
446000000000,0.00067819
447000000000,0.000615982
448000000000,6.2698e-05
449000000000,0.00057232
450000000000,7.1144e-05
451000000000,6.2107e-05
452000000000,5.7969e-05
453000000000,7.5482e-05
454000000000,5.8481e-05
455000000000,7.3178e-05
456000000000,0.000144092
457000000000,5.6306e-05
458000000000,6.1185e-05
459000000000,6.3971e-05
460000000000,7.1365e-05
461000000000,6.5945e-05
462000000000,9.6211e-05
463000000000,0.000241155
464000000000,5.8491e-05
465000000000,7.8208e-05
466000000000,6.2028e-05
467000000000,9.8646e-05
468000000000,9.6663e-05
469000000000,5.6537e-05
470000000000,8.5291e-05
471000000000,6.0384e-05
472000000000,9.0901e-05
473000000000,5.8119e-05
474000000000,6.6545e-05
475000000000,6.1917e-05
476000000000,7.4471e-05
477000000000,8.483e-05
478000000000,0.00039227
479000000000,0.000539568
480000000000,6.4151e-05
481000000000,0.000280769
482000000000,6.4412e-05
483000000000,7.3388e-05
484000000000,5.9762e-05
485000000000,6.0294e-05
486000000000,6.7397e-05
487000000000,6.7597e-05
488000000000,5.9021e-05
489000000000,6.0875e-05
490000000000,5.2308e-05
491000000000,6.1356e-05
492000000000,5.2699e-05
493000000000,4.4524e-05
494000000000,5.8631e-05
495000000000,5.4502e-05
496000000000,6.9e-05
497000000000,7.2908e-05
498000000000,7.4872e-05
499000000000,5.4693e-05
500000000000,6.883e-05
501000000000,6.7748e-05
502000000000,5.5124e-05
503000000000,0.000795592
504000000000,8.1153e-05
505000000000,6.917e-05
506000000000,7.3679e-05
507000000000,0.000117802
508000000000,7.964e-05
509000000000,0.000291621
510000000000,6.4141e-05
511000000000,0.000119716
512000000000,6.323e-05
513000000000,5.5866e-05
514000000000,6.6776e-05
515000000000,6.4822e-05
516000000000,0.000108585
517000000000,5.8591e-05
518000000000,5.798e-05
519000000000,6.0384e-05
520000000000,6.3991e-05
521000000000,6.8218e-05
522000000000,6.4241e-05
523000000000,5.6757e-05
524000000000,0.000102855
525000000000,0.000142339
526000000000,4.6738e-05
527000000000,5.3611e-05
528000000000,6.7086e-05
529000000000,5.3311e-05
530000000000,4.6709e-05
531000000000,7.2176e-05
532000000000,5.8691e-05
533000000000,5.7549e-05
534000000000,5.9943e-05
535000000000,6.8409e-05
536000000000,6.5314e-05
537000000000,0.000128803
538000000000,0.000107443
539000000000,7.93e-05
540000000000,0.00017476
541000000000,6.864e-05
542000000000,6.3339e-05
543000000000,5.5374e-05
544000000000,6.3179e-05
545000000000,8.2365e-05
546000000000,0.000158338
547000000000,6.9691e-05
548000000000,0.000207552
549000000000,8.3208e-05
550000000000,0.0001537
551000000000,0.000185861
552000000000,5.6717e-05
553000000000,7.941e-05
554000000000,0.000143701
555000000000,8.5502e-05
556000000000,0.000168698
557000000000,6.2057e-05
558000000000,0.000122581
559000000000,5.805e-05
560000000000,0.000100209
561000000000,6.6325e-05
562000000000,6.917e-05
563000000000,4.9955e-05
564000000000,5.9422e-05
565000000000,5.8871e-05
566000000000,7.1675e-05
567000000000,6.5434e-05
568000000000,5.8801e-05
569000000000,5.9973e-05
570000000000,5.5925e-05
571000000000,7.0212e-05
572000000000,5.2409e-05
573000000000,6.5694e-05
574000000000,5.307e-05
575000000000,0.000126489
576000000000,8.0482e-05
577000000000,6.1877e-05
578000000000,6.6405e-05
579000000000,0.000104087
580000000000,8.7765e-05
581000000000,0.000245764
582000000000,6.6505e-05
583000000000,0.000146757
584000000000,7.1525e-05
585000000000,7.1385e-05
586000000000,0.000113404
587000000000,5.9242e-05
588000000000,6.6966e-05
589000000000,5.9862e-05
590000000000,6.6095e-05
591000000000,0.000138752
592000000000,0.000186722
593000000000,6.371e-05
594000000000,0.000484134
595000000000,7.8228e-05
596000000000,0.000536112
597000000000,0.000462874
598000000000,5.3891e-05
599000000000,0.000183486
600000000000,7.2326e-05
601000000000,5.315e-05
602000000000,0.000130516
603000000000,8.3598e-05
604000000000,7.6083e-05
605000000000,6.9251e-05
606000000000,8.5792e-05
607000000000,0.000411677
608000000000,9.027e-05
609000000000,5.832e-05
610000000000,6.5042e-05
611000000000,0.000119616
612000000000,7.6585e-05
613000000000,0.00011112
614000000000,8.2205e-05
615000000000,7.3068e-05
616000000000,6.2758e-05
617000000000,7.2667e-05
618000000000,6.0814e-05
619000000000,6.333e-05
620000000000,6.4953e-05
621000000000,6.896e-05
622000000000,5.8481e-05
623000000000,5.853e-05
624000000000,7.2627e-05
625000000000,5.3961e-05
626000000000,6.9662e-05
627000000000,0.000101381
628000000000,5.0776e-05
629000000000,0.00011163
630000000000,4.9614e-05
631000000000,0.000119195
632000000000,0.000390718
633000000000,6.0585e-05
634000000000,5.4863e-05
635000000000,8.4539e-05
636000000000,7.5162e-05
637000000000,6.8679e-05
638000000000,8.1503e-05
639000000000,7.7526e-05
640000000000,0.000245633
641000000000,6.0985e-05
642000000000,6.1326e-05
643000000000,0.00010108
644000000000,0.000485005
645000000000,0.00032325
646000000000,7.1245e-05
647000000000,6.332e-05
648000000000,0.000103836
649000000000,0.000343087
650000000000,5.5525e-05
651000000000,9.1924e-05
652000000000,5.6877e-05
653000000000,8.8347e-05
654000000000,7.5182e-05
655000000000,0.000364598
656000000000,4.5195e-05
657000000000,7.3709e-05
658000000000,0.000354879
659000000000,0.000133431
660000000000,9.564e-05
661000000000,8.487e-05
662000000000,7.7677e-05
663000000000,7.6355e-05
664000000000,6.9721e-05
665000000000,8.1143e-05
666000000000,5.3652e-05
667000000000,5.3551e-05
668000000000,6.0374e-05
669000000000,9.515e-05
670000000000,6.4612e-05
671000000000,7.2406e-05
672000000000,0.000373665
673000000000,6.9501e-05
674000000000,6.8399e-05
675000000000,7.415e-05
676000000000,0.000330584
677000000000,6.8299e-05
678000000000,6.8219e-05
679000000000,7.4641e-05
680000000000,0.000106861
681000000000,7.2256e-05
682000000000,5.8921e-05
683000000000,4.3963e-05
684000000000,6.9721e-05
685000000000,7.8047e-05
686000000000,7.4721e-05
687000000000,9.3697e-05
688000000000,5.5014e-05
689000000000,6.4682e-05
690000000000,0.000151747
691000000000,6.8549e-05
692000000000,6.1657e-05
693000000000,7.5963e-05
694000000000,6.6335e-05
695000000000,0.000113784
