timestamp(ns),elapsed(s)
0,0.00355891
1000000000,0.00268395
2000000000,0.00284339
3000000000,0.00284033
4000000000,0.00238632
5000000000,0.00270309
6000000000,0.00209461
7000000000,0.00291502
8000000000,0.00205026
9000000000,0.00237742
10000000000,0.00242735
11000000000,0.00195765
12000000000,0.00217074
13000000000,0.00165367
14000000000,0.0025407
15000000000,0.00279119
16000000000,0.00245262
17000000000,0.00199817
18000000000,0.00305841
19000000000,0.0031644
20000000000,0.00389236
21000000000,0.00290892
22000000000,0.00246284
23000000000,0.00286957
24000000000,0.00266825
25000000000,0.00252566
26000000000,0.00233318
27000000000,0.00252915
28000000000,0.002459
29000000000,0.00266143
30000000000,0.00242587
31000000000,0.00285196
32000000000,0.00263386
33000000000,0.00224354
34000000000,0.00269658
35000000000,0.00214561
36000000000,0.00223666
37000000000,0.00166818
38000000000,0.00189189
39000000000,0.00227624
40000000000,0.00374616
41000000000,0.00285941
42000000000,0.00217829
43000000000,0.00257672
44000000000,0.00344936
45000000000,0.00324699
46000000000,0.00280121
47000000000,0.00327403
48000000000,0.00310574
49000000000,0.00291406
50000000000,0.00347782
51000000000,0.00305962
52000000000,0.00309466
53000000000,0.00283934
54000000000,0.00367951
55000000000,0.00286298
56000000000,0.00338107
57000000000,0.00248722
58000000000,0.00246965
59000000000,0.0024597
60000000000,0.00230825
61000000000,0.00300601
62000000000,0.00283916
63000000000,0.00197153
64000000000,0.00280605
65000000000,0.00319829
66000000000,0.00266231
67000000000,0.00254849
68000000000,0.00189071
69000000000,0.00223437
70000000000,0.00192472
71000000000,0.00181294
72000000000,0.00226655
73000000000,0.00245249
74000000000,0.00187075
75000000000,0.0018773
76000000000,0.0027427
77000000000,0.00299846
78000000000,0.00298957
79000000000,0.0027666
80000000000,0.00284865
81000000000,0.00291323
82000000000,0.00283011
83000000000,0.00260699
84000000000,0.00200457
85000000000,0.00209327
86000000000,0.00220932
87000000000,0.00150582
88000000000,0.00190011
89000000000,0.0018143
90000000000,0.00243084
91000000000,0.00163328
92000000000,0.00201028
93000000000,0.00183712
94000000000,0.00175974
